"";"Style";"OG";"FG";"IBU";"ABV";"Color"
"X3.Floyd.s.Zombie.Dust.Clone";2;1,07;1,018;53;6,9;8
"Cascade.IPA";2;1,068;1,018;68;6,6;6
"Hefe.IV";1;1,05;1,012;12;5;3
"Citra.Black.IPA";2;1,062;1,017;43;6;33
"Citra.Amarillo.IPA";2;1,059;1,01;68;6,4;6
"House.Red.Ale";4;1,049;1,012;20;4,8;17
"Love.You.Long.Time.IPA";2;1,05;1,013;43;4,9;8
"Grapefruit.IPA";2;1,062;1,015;50;6,1;10
"All.Citra.Ale";2;1,06;1,015;49;5,9;7
"Springtime.Red.IPA";2;1,066;1,016;70;6,4;14
"German.Pilsner";3;1,046;1,012;36;4,5;2
"Bells.Two.Hearted..BeerSmith.";2;1,074;1,017;61;7,5;7
"Citripa";2;1,064;1,016;67;6,2;8
"Herms√.l...Red.Ranger";4;1,065;1,017;22;6,2;15
"Golden.Magic.Hefeweizen";1;1,051;1,013;14;5;2
"Celtic.Sunrise.Irish.Red.Ale";4;1,05;1,014;18;4,7;13
"Irish.red";4;1,049;1,014;24;4,6;13
"Citra.Single.Hop.IPA";2;1,07;1,018;65;6,9;9
"Lagunitas.IPA.clone";2;1,074;1,019;58;7,3;9
"Bronco.Orange.Hefeweizen.BIAB";1;1,05;1,012;15;5;3
"Strawberry.Wheat";1;1,052;1,013;10;5,1;3
"Azacca.SMASH";2;1,073;1,017;67;7,3;6
"Citra.Mosaic.Half.Hearted";2;1,06;1,014;54;6;7
"Hefeweizen";1;1,051;1,013;13;5;3
"Northern.Brewer.Dead.Ringer.IPA";2;1,067;1,018;55;6,4;7
"Bismarck.Pils";3;1,049;1,012;40;4,8;2
"Double.Dawg.Dare.IPA";2;1,062;1,017;66;5,9;6
"X.2.Summer.SMaSH.IPA";2;1,069;1,017;53;6,8;6
"Angel.IPA";2;1,064;1,014;56;6,5;7
"Irish.Red.2011";4;1,055;1,014;19;5,4;14
"Fresh.Hop.IPA";2;1,067;1,016;62;6,8;7
"Session.Black.IPA";2;1,048;1,013;42;4,6;37
"L33T.1P4";2;1,07;1,015;65;7,2;7
"German.Pilsner.1";3;1,052;1,011;35;5,3;2
"Zombie.Dust.IPA.Clone";2;1,047;1,007;108;5,2;9
"Denny.s.Rye.IPA";2;1,082;1,012;60;9,1;10
"Freshly.Squeezed.Nugs";2;1,074;1,018;52;7,4;9
"Outter.Limits.IPA";2;1,068;1,018;41;6,6;11
"Dead.Ringer.IPA";2;1,064;1,015;64;6,4;7
"Ice.to.69.you";2;1,07;1,016;68;7;6
"Snoweizen";1;1,044;1,012;10;4,2;4
"Tafy.s.Rye.Pils";3;1,047;1,011;30;4,8;3
"Hawaiian.Pale.Ale";2;1,059;1,014;59;6;9
"Weihenstephaner.Hefe.Weissbier..1";1;1,052;1,012;11;5,2;2
"Irish.Red.Ale..Midwest.kit.";4;1,044;1,011;22;4,4;12
"Zombie.Ritual..Zombie.Dust.Clone..BIAB";2;1,062;1,016;63;6,1;8
"Jamil.s.BYO.Irish.Red.Ale";4;1,052;1,014;25;5,1;15
"Lenticular";2;1,058;1,008;61;6,5;6
"Ziggy.Spacedust.IPA..a.smaller.Space.Dust.clone.";2;1,06;1,018;55;5,5;4
"Hoppiness.is.an.IPA..Palmer.et.al.";2;1,072;1,011;58;8,1;8
"Ska.Modus.Hoperandi.Clone";2;1,067;1,017;67;6,6;12
"Single.Hop.Amarillo.IPA";2;1,066;1,017;59;6,4;10
"Single.Hop.IPA...Sorachi.Ace...Scaled";2;1,064;1,017;54;6,1;8
"Summer.Shandy";1;1,051;1,012;12;5,1;3
"Nasty.Nate.s.Armadillo";2;1,061;1,015;70;6;7
"Chinook.IPA";2;1,066;1,018;65;6,3;6
"X1337.Zombie..Citra.Single.Hop.";2;1,064;1,009;70;7,2;7
"Kilkenny.Irish.Red";4;1,047;1,015;19;4,1;13
"Aranycs√.pp";1;1,061;1,016;11;5,9;3
"Raging.Red.Irish.Red.Ale";4;1,06;1,014;25;6;15
"Sculpin.IPA.Clone";2;1,072;1,018;73;7,1;9
"Standard.Weissbier";1;1,043;1,011;23;4,1;3
"Hangover.Hold.em.IPA";2;1,065;1,013;48;6,8;7
"Lagunitas.IPA.Clone";2;1,06;1,017;45;5,6;7
"Columbus.Single.Hop.IPA";2;1,074;1,011;65;8,3;6
"Chinook.Rye.IPA";2;1,075;1,011;68;8,4;10
"Willamette.valley.wiesse";1;1,051;1,014;9;4,9;3
"Equinox.IPA.9.26.14";2;1,057;1,012;60;5,9;8
"Columbus.IPA";2;1,065;1,016;56;6,4;8
"Belgian.IPA";2;1,069;1,017;70;6,8;6
"Sailor.s.Delight";2;1,07;1,017;66;7;6
"Irish.Spring.Break";4;1,048;1,014;25;4,6;10
"Fresh.Squeezed.IPA.Clone";2;1,064;1,009;88;7,2;8
"Irish.Red";4;1,058;1,014;26;5,7;12
"Northwest.Imperial.Red.Rye.Ale";4;1,083;1,022;37;8;14
"Moran.s.IPA";2;1,056;1,015;58;5,4;32
"Oirish.Rad";4;1,063;1,014;23;6,4;11
"Nisqually.Pale";2;1,061;1,015;58;6;8
"Draft.Day.IPA";2;1,074;1,017;60;7,4;13
"MACC.IPA";2;1,071;1,015;41;7,4;6
"Cascade.of.Cascade";2;1,057;1,012;58;5,9;7
"Heafes.weizen";1;1,048;1,013;11;4,7;2
"Red.IPA";2;1,065;1,015;66;6,6;13
"Bell.s.Two.Hearted.Clone";2;1,06;1,012;54;6,3;8
"Single.Hop.IPA..Nelson.Sauvin.";2;1,071;1,017;56;7,2;9
"Tongue.Tickler.Pilsner";3;1,048;1,011;28;4,8;2
"German.Pilsner.3";3;1,046;1,01;35;4,7;2
"Summer.Pils";3;1,05;1,01;39;5,2;2
"Irish.Red.Ale..MW.";4;1,049;1,013;26;4,7;12
"Chinook.IPA.1";2;1,057;1,014;45;5,7;7
"Biscuit.IPA";2;1,07;1,017;52;6,8;10
"B.s.Pils";3;1,048;1,012;44;4,7;2
"Galaxy.IPA";2;1,071;1,018;63;6,9;8
"Centennial.IPA";2;1,07;1,015;65;7,1;9
"Daniel.s.Extract.Hefeweizen";1;1,05;1,013;13;4,9;3
"American.Red.Rye.IPA";2;1,063;1,016;73;6,2;16
"Kama.Citra.Session.IPA..NB.";2;1,05;1,014;39;4,8;4
"Jim.s.American.IPA";2;1,048;1,007;61;5,4;5
"hefe";1;1,053;1,013;15;5,2;6
"Boylan.Hoptical";2;1,055;1,013;44;5,5;11
"Wolf";2;1,074;1,013;39;8;15
"Red.Beard...Bitter.Red";4;1,049;1,014;29;4,6;13
"duet.clone";2;1,07;1,016;52;7;4
"A2ZIPA...";2;1,072;1,016;71;7,3;3
"K√.nigskrone.German.Pils";3;1,049;1,013;33;4,7;2
"Simple.Hefe";1;1,058;1,015;5;5,6;3
"Ein.ma.Weisse";1;1,047;1,013;8;4,5;4
"IPA";2;1,065;1,011;48;7;9
"Magnibrew.s.Hop..Hop..IPA";2;1,062;1,016;52;6,1;8
"Red.Robyn.2";4;1,044;1,006;22;4,9;9
"Trick.or.Treat.Black.IPA";2;1,08;1,019;67;8;62
"Nugget.Nectar.Clone";2;1,069;1,01;108;7,7;6
"Jamil.s.Evil.Twin...ALL.GRAIN";2;1,065;1,017;69;6,2;16
"Nelson.in.Vienna.SMaSH";2;1,054;1,013;44;5,4;7
"CYBI.Green.Flash.West.Coast.IPA";2;1,077;1,021;100;7,3;8
"Leine.s.Summer.Shandy.Clone";1;1,051;1,012;12;5,1;2
"EMA.American.Pale...26L.batch.";2;1,059;1,009;41;6,6;7
"SaraWeizen";1;1,052;1,013;11;5,1;4
"Hop.Burst.IPA";2;1,065;1,015;56;6,5;7
"American.Rye.IPA";2;1,064;1,015;50;6,4;7
"Chicken.Dog.IPA";2;1,069;1,017;69;6,8;8
"Duke.s.Fall.Retriever";2;1,07;1,01;57;7,8;7
"oktoberfest.hefe";1;1,052;1,012;12;5,2;3
"German.Hefeweizen";1;1,048;1,012;11;4,7;2
"From.Hells.Heart";2;1,062;1,013;70;6,5;8
"Spaceman.IPA";2;1,069;1,01;51;7,8;6
"Hoppy.Red..1";2;1,071;1,017;62;7,1;15
"Red.Classic";4;1,045;1,013;19;4,2;13
"Ruby..X..IPA.4.6.14";2;1,059;1,012;48;6,1;8
"NW.Rye.IPA";2;1,073;1,018;44;7,2;9
"Basic.Bitch.IPA";2;1,072;1,016;56;7,4;6
"Sierra.Nevada.Celebration.IPA";2;1,074;1,011;67;8,3;10
"Hop.Burst.IPA.1";2;1,065;1,013;67;6,7;7
"B.day.Hop";2;1,066;1,015;67;6,7;12
"Hobbit.House.IPA";2;1,061;1,011;69;6,6;6
"GR.IPA";2;1,064;1,017;50;6,2;9
"Citra.Single.Hop";2;1,058;1,012;52;6,1;7
"Transatlantic.IPA";2;1,071;1,018;60;7;7
"Hogan.s.Air.Raid.ag";2;1,065;1,015;65;6,6;6
"Zombie.Dust.Partial.Mash.Clone.Part.II";2;1,06;1,014;47;6;7
"Harvest.Red..2015.";2;1,07;1,016;68;7;10
"SMASH.German.Wheat";1;1,052;1,013;10;5,1;4
"Generic.IPA";2;1,068;1,018;44;6,6;10
"Grapefruit.IPA.1";2;1,072;1,018;50;7,1;6
"IPAHHH.";2;1,059;1,018;61;5,4;7
"Missing.the.Freshness.....IPA";2;1,058;1,014;65;5,8;12
"Heferator";1;1,05;1,013;11;4,8;6
"Sierra.Nevada.Celebration.Ale.Clone";2;1,063;1,015;53;6,3;13
"IPA.1";2;1,073;1,017;57;7,2;6
"MaracujIPA";2;1,058;1,015;43;5,7;7
"Still.Bitches....Still.in.Space..3gal.";2;1,063;1,016;61;6,2;6
"German.IPA";2;1,058;1,015;48;5,7;10
"Liquid.Alpha";2;1,065;1,015;48;6,6;6
"Weihenstephan.Hefe.Weissbier";1;1,048;1,012;14;4,7;3
"Big.Enzyme.ER";2;1,065;1,013;57;6,8;6
"Chanson.d.Hiver";2;1,065;1,016;51;6,4;6
"American.Copper.Ale..22";2;1,069;1,01;58;7,8;14
"Austin.Homebrew.Nelson.Sauvin.IPA";2;1,059;1,014;54;5,9;9
"Cabin.Fever.Stovetop.APA";2;1,06;1,016;64;5,7;10
"Russian.River.Blind.Pig.DIY";2;1,058;1,014;70;5,8;4
"Pliny.Hop.CLone";2;1,086;1,02;159;8,6;5
"Hoppy.Joe.Clone.from.Lervig..3";2;1,052;1,016;32;4,8;18
"Grapefruit.Sculpin.Clone";2;1,069;1,014;74;7,2;4
"Munich.Ale";2;1,083;1,024;46;7,7;6
"White.IPA...Chainbreaker.White.IPA.Clone";2;1,063;1,015;59;6,3;3
"Rickard.s.Red.Clone";4;1,046;1,009;20;4,8;14
"Quailhead.Pils";3;1,052;1,013;23;5;2
"Green.Hulk.IPA.aka.American.Revolution";2;1,068;1,021;193;6,2;6
"Stepchild.Red.Ale";4;1,061;1,017;36;5,9;21
"all.day.ipa";2;1,047;1,012;50;4,6;5
"Darius.hefeweizen";1;1,069;1,018;9;6,7;4
"Citra.Pale.Ale";2;1,067;1,02;110;6,2;10
"Irish.Red.Ale";4;1,06;1,017;28;5,6;17
"Smithwicks.Clone";4;1,062;1,017;26;5,9;13
"Grapefruit.Pulpin";2;1,065;1,009;39;7,3;7
"Munich.II.Citra.SMaSH";2;1,069;1,017;81;6,8;12
"Base.IPA..Centennial.";2;1,065;1,01;51;7,2;7
"Diamond.Not.04.29.13";2;1,073;1,018;44;7,3;12
"Steiner.Experimental.A.IPA";2;1,065;1,015;47;6,5;7
"IPA..1";2;1,059;1,015;41;5,8;6
"X1st.pils";3;1,05;1,013;25;4,9;3
"Heikki.Lunta..go.away.";2;1,067;1,013;48;7;8
"Slainte";4;1,045;1,013;24;4,2;16
"X2013.February...Year.of.the.Snake.Irish.Red";4;1,049;1,013;17;4,7;10
"Yule.s.Red.Tide.Ale";4;1,049;1,011;20;4,9;12
"Citra.SMaSH.IPA";2;1,059;1,016;41;5,6;6
"SHG.Citra";2;1,066;1,017;49;6,4;9
"Krazy.Kra√.sen.Hefeweizen";1;1,048;1,012;14;4,6;3
"X2014.Simple.Hefeweizen";1;1,052;1,01;14;5,4;3
"Corte.Brewing.and.The.Holy.Grail";2;1,066;1,017;51;6,5;7
"Calypso.IPA";2;1,067;1,013;70;7;14
"MicroFest.IPA";2;1,069;1,017;63;6,7;8
"Ed.s.Red.V3";4;1,047;1,01;21;4,7;11
"Ken.s.Biergarten";3;1,049;1,012;31;4,9;2
"Columbus.Solo";2;1,056;1,014;48;5,6;8
"Hoppily.Ever.After";1;1,052;1,013;12;5,1;3
"Singel.hoped.Polaris";2;1,062;1,014;67;6,3;6
"r.ale";2;1,068;1,016;54;6,8;7
"CasMo.SMaSH";2;1,068;1,017;49;6,7;6
"Hefe";1;1,052;1,014;8;5;3
"Weihenstephaner.Hefeweissbier.Clone";1;1,055;1,014;13;5,4;4
"Eggy.s.Mosaic.Promise";2;1,06;1,009;35;6,7;4
"B.64.BIPA.20140217";2;1,068;1,01;89;7,6;39
"Oaty.Nonsense.II";2;1,063;1,016;0;6,2;6
"Union.Jack.Clone";2;1,082;1,013;62;9;7
"Zatec.Pils";3;1,045;1,013;49;4,2;2
"Citra.2.Row.Smash";2;1,061;1,018;52;5,6;2
"Fruit.Festival.IPA";2;1,064;1,016;72;6,3;8
"Mosaic.SMaSH";2;1,063;1,016;55;6,2;5
"Stone..Enjoy.By..clone";2;1,085;1,014;92;9,2;4
"Hop.Scare.IPA";2;1,076;1,018;57;7,6;8
"Zombie.Dirt";2;1,059;1,018;69;5,4;5
"trickster";2;1,054;1,014;87;5,3;7
"Cascade.IPA.1";2;1,068;1,01;66;7,6;7
"West.coast.pils";3;1,055;1,017;38;5,1;3
"Session.IPA...Big.Little.Guy.All.Day..GF.";2;1,045;1,014;44;4,2;7
"A.Pils";3;1,051;1,015;37;4,7;2
"Pils.3GB";3;1,046;1,009;34;4,8;1
"Rye.Rye.Rocco";4;1,06;1,017;31;5,7;11
"Citra.Marris.Otter.SMASH";2;1,071;1,02;89;6,7;6
"Captain.MACC";2;1,073;1,015;71;7,6;5
"Zeus.Black.IPA";2;1,061;1,009;48;6,9;32
"Gold.as.Ice";2;1,054;1,008;58;6;5
"Piney.Falls.IPA";2;1,065;1,009;48;7,3;9
"Dark.Grey.IPA..w..Earl.Grey.Tea.";2;1,069;1,01;66;7,7;28
"American.Spruce.Ale";2;1,062;1,016;54;6;5
"Millennium.Falcon";2;1,052;1,008;72;5,8;6
"Summer.Ale.4.10.15";2;1,042;1,006;47;4,6;1
"El.Dorado.IPA";2;1,068;1,014;131;7,2;8
"All.American.IPA";2;1,075;1,019;56;7,4;11
"The.BABIT.IPA..biab.";2;1,065;1,015;45;6,5;2
"Kiwi.Express.IPA..NB.";2;1,06;1,009;49;6,8;3
"Ace.of.Spades";2;1,064;1,016;64;6,2;32
"Pliny.the.Elder.Clone";2;1,074;1,017;205;7,4;5
"Session.IPA";2;1,04;1,013;73;3,7;2
"Vermont.IPA";2;1,066;1,018;45;6,3;5
"X1.Gallon.IPA";2;1,067;1,02;141;6,2;5
"Union.Jackesk.IPA";2;1,065;1,018;77;6,2;9
"Anchor.Steam.IPA..Extract.";2;1,075;1,022;50;6,9;15
"Fit.To.Be.Ty.d";4;1,054;1,015;25;5,1;13
"Ferocious.IPA";2;1,058;1,015;74;5,6;6
"Fall.Brown.IPA";2;1,056;1,012;85;5,6;9
"Motsatt.kinn.IPA";2;1,066;1,018;68;6,3;8
"Hefeweizen.XII";1;1,053;1,012;14;5,4;3
"HTRB.Lavender.Mint.IPA";2;1,069;1,016;77;6,9;5
"Outer.Spruce";2;1,046;1,007;56;5,2;3
"Original.Punk.IPA.Clone";2;1,053;1,013;42;5,2;4
"Stone.IPA.Clone";2;1,071;1,016;81;7,2;4
"Colorado..all.day..IPA";2;1,067;1,017;49;6,5;14
"Later.Skater.III";2;1,061;1,016;57;5,9;10
"Honey.Amber.IPA.";2;1,068;1,016;70;6,8;10
"Flea.Free.IPA";2;1,066;1,016;47;6,6;7
"American.IPA";2;1,073;1,017;69;7,2;6
"Zombie.Dust.Clone...1.Gallon";2;1,069;1,017;53;6,8;8
"Octopus.lagopus..Phillips.Octofox.clone.";2;1,063;1,016;53;6,2;11
"The.Defeated.Troll";3;1,046;1,011;35;4,6;2
"Little.Richie.Ale";2;1,057;1,017;50;5,3;10
"Kellarb√.r.Ein..Hefeweizen.";1;1,052;1,013;12;5,1;3
"Cuv√.e.35.C2IPA";2;1,07;1,016;61;7,1;6
"Red.Robyn";4;1,047;1,012;21;4,6;18
"Christmas.IPA";2;1,071;1,017;70;7,1;8
"Warm.December";2;1,074;1,015;67;7,7;7
"Red";2;1,069;1,017;62;6,8;14
"Shark.Juice.IPA";2;1,058;1,015;61;5,7;7
"Dead.Ringer.IPA.1";2;1,072;1,01;62;8;14
"American.IPA_late.hop.add";2;1,061;1,014;49;6,1;14
"Iers.Rood";4;1,055;1,014;26;5,4;17
"Bi√.re.de.Mila";2;1,063;1,015;53;6,3;12
"Beast.Mode.IPA";2;1,071;1,018;60;7;7
"Hebeert.s.Full.Nelson.IPA";2;1,071;1,018;52;6,9;11
"Bell.s.2.Hearted.Citra";2;1,059;1,014;61;5,9;6
"Corte.Kiwi.IPA";2;1,074;1,017;66;7,5;6
"The.Heff";1;1,051;1,013;14;4,9;5
"Brett.Botch.Batch.IPA.v6";2;1,06;1,012;62;6,3;11
"House.Standard.IPA";2;1,067;1,012;50;7,2;7
"Goodwheat";1;1,05;1,012;9;5;4
"Underbite.IPA";2;1,058;1,014;46;5,7;8
"First.Crack.AIPA";2;1,057;1,015;68;5,5;7
"En.Amerikansk.Blek.√.l";2;1,058;1,015;67;5,7;11
"Single.Hop.Trials";2;1,062;1,016;67;6,1;8
"X.004...Dead.Ringer.IPA";2;1,073;1,018;52;7,2;10
"I.Doehoe.";2;1,062;1,016;52;6,1;10
"Simcoe.IPA";2;1,067;1,017;64;6,6;6
"CWAY.Gratitude.Attitude";2;1,065;1,016;65;6,4;6
"Summer.2013.IPA";2;1,064;1,015;52;6,4;10
"SMaSH.Series..Liquid.Nuggets";2;1,07;1,016;68;7;6
"Rapid.Fire.IPA";2;1,06;1,012;58;6,3;7
"Plato";2;1,06;1,014;44;6;9
"Sheffield.Series...Lagerboy";3;1,049;1,011;39;5;4
"X.22.‚...Rypa";2;1,063;1,015;59;6,3;8
"Lovebite.Weissbier";1;1,046;1,012;12;4,5;3
"Balls.to.the.wall";2;1,065;1,014;103;6,6;9
"Zombie.Dirt.1";2;1,068;1,021;68;6,2;7
"Grapefruit.Hefeweizen";1;1,057;1,013;23;5,7;3
"Blood.Orange.Heffe.2";1;1,05;1,012;17;5;4
"SAM";2;1,073;1,022;67;6,7;5
"Heffe.Wizen";1;1,053;1,013;10;5,3;3
"Citra.Wheat.IPA";2;1,066;1,01;100;7,3;6
"Fortune...Glory.stag.beetle";2;1,049;1,013;48;4,7;8
"Drake.s.IPA.Clone";2;1,082;1,012;38;9,2;9
"Paesel.Pilsner";3;1,049;1,015;39;4,5;4
"India.Pale.Whale.of.a.Beer";2;1,067;1,017;76;6,6;15
"cybi.Union.Jack";2;1,064;1,014;67;6,5;4
"The.Big.Red.One";4;1,046;1,012;34;4,5;9
"Hop.Drop.and.Roll.clone";2;1,072;1,01;84;8;7
"West.Coast.IPA...11.Gal.....1";2;1,066;1,015;89;6,6;2
"Black.Forest.Sorachi.IPA";2;1,064;1,015;63;6,4;30
"X.26...Chinook.Ale";2;1,07;1,021;38;6,4;7
"Citra.IPA.8.23.15";2;1,059;1,014;76;6;8
"RyePA";2;1,071;1,022;209;6,4;7
"Irish.Red.1";4;1,064;1,017;23;6,1;10
"space.dust.clone..2";2;1,076;1,019;75;7,5;5
"Davids.Ranger.IPA";2;1,055;1,013;67;5,5;7
"Trillium.Congress.Street.DDH.IPA.Extract";2;1,06;1,009;44;6,8;5
"schneider.weisse.clone";1;1,046;1,011;7;4,6;6
"Backyard.IPA.2.0";2;1,055;1,015;157;5,2;7
"New.IPA.S7";2;1,07;1,018;73;6,8;4
"Hinky.Dink.India.Cream.Ale";2;1,058;1,014;47;5,7;5
"Tight.Butthole";2;1,073;1,011;87;8,2;31
"Foxy.Pantz.Pils";3;1,046;1,011;20;4,7;4
"Schneider.Weisse.Clone";1;1,053;1,014;22;5,1;8
"German.Pils";3;1,052;1,01;43;5,4;2
"pliney.ish";2;1,062;1,009;75;7;6
"SoCo.Pennybacker.Double.IPA";2;1,07;1,014;79;7,3;10
"X2013.Memorial.Day.ipa";2;1,068;1,021;105;6,2;8
"Lime.Shandy.Mark.1";1;1,052;1,012;16;5,1;2
"Into.the.Unknown.IPA";2;1,061;1,015;118;6;10
"Soweto.From.Here.IPA";2;1,062;1,009;54;6,9;40
"Lemon.Coriander.Weiss";1;1,057;1,014;12;5,6;3
"Cactus.Bite";2;1,067;1,01;93;7,5;5
"Celebration.Bitches";2;1,071;1,018;87;7;9
"G√.stens.Licht.Weiss";1;1,053;1,013;9;5,2;3
"Black.IPA";2;1,054;1,008;51;6,1;33
"Flying.Dog.Raging.Bitch.Clone";2;1,056;1,015;72;5,4;10
"WIPA";2;1,063;1,014;61;6,4;3
"Aviator.Hot.Rod.Red.Clone";4;1,067;1,013;49;7;16
"Hopped.the.Question";2;1,062;1,012;45;6,5;5
"BJ.s.Jeremiah.red.clone";4;1,069;1,02;26;6,4;18
"Boba.Brett..Sour.White.IPA.";2;1,063;1,014;68;6,4;4
"WhiteyPA";2;1,066;1,018;69;6,3;5
"Simcoe.based.IPA";2;1,058;1,008;66;6,5;13
"Third.Party.Liability.IPA";2;1,075;1,014;75;8;5
"Brewers.Best.IPA.with.Dry.Hop";2;1,063;1,017;83;6;10
"Waimea.River";2;1,063;1,019;57;5,8;6
"X.27.‚...Slurm";2;1,061;1,01;64;6,7;5
"Congress";2;1,066;1,011;73;7,3;5
"Titan.IPA.Clone";2;1,063;1,015;113;6,3;10
"Northern.Brewer..Bavarian.Hefeweizen";1;1,055;1,015;15;5,2;3
"Pinner..2.Session.IPA";2;1,05;1,013;81;4,9;3
"Bosco.s.Irish.Red";4;1,055;1,014;27;5,4;20
"X2.Poles..IPA..1";2;1,063;1,012;67;6,6;3
"Julius.Clone";2;1,063;1,014;33;6,3;5
"County.Clare.Red.Ale";4;1,074;1,025;27;6,5;17
"Fireside.IPA";2;1,073;1,022;73;6,7;10
"Yum.Yum.Hefe";1;1,053;1,013;8;5,2;4
"Blackheart.IPA";2;1,071;1,017;61;7;34
"Griffiths.IPA";2;1,066;1,016;53;6,5;16
"RIPAblican";2;1,065;1,009;74;7,3;8
"Citra.Black.IPA.clone";2;1,057;1,015;42;5,4;31
"Pacific.Warrior.May.2015";2;1,06;1,009;65;6,7;11
"Berndog.s.Fall.IPA";2;1,087;1,026;70;8;8
"Simple.Heffe.2";1;1,053;1,014;15;5,1;4
"Badger.Red.Irish.Ale";4;1,055;1,016;26;5,1;15
"First.Run.Weizen";1;1,021;1,006;29;1,9;2
"Rob.s.IPA";2;1,075;1,019;70;7,3;5
"Red.Ale..Hodge.version.";4;1,055;1,015;23;5,3;12
"Big.Daddy.IPA";2;1,063;1,015;94;6,3;13
"Resin.IPA.not.session";2;1,067;1,016;92;6,7;5
"X.7.Raspberry.IPA";2;1,07;1,014;99;7,3;11
"Dogfish.Head.60.Minute.IPA.Clone";2;1,063;1,019;80;5,8;9
"Ranger.IPA";2;1,058;1,009;109;6,4;7
"Unita.s.Hop.Nosh";2;1,051;1,007;72;5,8;10
"Glenview.Rye.IPA";2;1,062;1,009;60;7;11
"Hunkel";1;1,047;1,012;13;4,6;11
"Squashed.Armadillo.Amarillo.Smash";2;1,061;1,014;49;6,1;5
"DFH.60.Minute.IPA.Clone";2;1,067;1,02;56;6,2;4
"Simcoe.Select.IPA..Midwest.kit.";2;1,053;1,013;75;5,2;13
"The.Great.American.Incognitum";2;1,067;1,02;67;6,1;10
"Knife.Hand.IPA";2;1,062;1,015;59;6,2;32
"Maris.Otter...Nelson.Sauvin.SMaSH";2;1,07;1,01;47;7,8;6
"Sculpin.Clone";2;1,064;1,009;97;7,1;5
"Ruination.Pale";2;1,061;1,02;66;5,3;4
"New.Zealand.IPA";2;1,063;1,015;107;6,3;6
"Valhalla..double.ipa";2;1,081;1,02;78;7,9;7
"Run.Down";2;1,081;1,012;88;9,1;5
"Falcon.Rye.IPA";2;1,058;1,008;50;6,5;12
"Citrillo.7";2;1,066;1,01;96;7,4;6
"American.IPA.v2";2;1,065;1,017;75;6,3;7
"Unnamed.IPA..17.";2;1,053;1,013;138;5,2;8
"birthday.ipa";2;1,058;1,015;89;5,7;3
"Blueberry.Oatmeal.IPA";2;1,053;1,013;81;5,3;4
"Brian.Pilsner";3;1,051;1,013;23;5;2
"Wilson.IPA.III";2;1,058;1,005;70;6,9;10
"fikePA";2;1,06;1,015;88;5,9;5
"Juicy.IPA";2;1,065;1,018;80;6,2;2
"X0025.Bobbo.Beer";2;1,059;1,015;178;5,8;2
"Jaded.IPA";2;1,065;1,009;55;7,2;6
"Smashing.the.Mosaic";2;1,067;1,017;109;6,5;5
"Blood.Orange.Mosaic.IPA";2;1,067;1,017;61;6,5;3
"Iroquois";2;1,065;1,009;72;7,3;8
"Pisgah.Pale.Clone";2;1,074;1,018;71;7,4;8
"Russian.River.Pliny.the.Elder";2;1,074;1,017;186;7,4;5
"Hogan.the.Coon.Dog";2;1,06;1,011;61;6,3;3
"Jefferson";2;1,06;1,016;70;5,8;4
"EMA.American.Pale..26L.batch..v1.2";2;1,059;1,009;101;6,6;7
"Gueymano.s.Genesis.IPA";2;1,067;1,016;117;6,8;7
"Stuff..Em.Up.the.Guns";2;1,061;1,009;54;6,9;6
