"";"Style";"OG";"FG";"IBU";"ABV";"Color"
"White.Dog.Wit.clone";1;1,065;1,016;12;6,5;5
"zombie.dust.clone";2;1,051;1,016;82;4,6;9
"Maris.Motueka.Smash";2;1,054;1,014;50;5,3;4
"Mosaic.Pale.Ale";2;1,065;1,009;53;7,3;6
"Light.Speed.IPA";2;1,07;1,017;86;6,9;7
"Weissbier.Estiu.2014";1;1,052;1,013;9;5,1;2
"Citra.Black.IPA.1";2;1,071;1,015;64;7,4;41
"Kiwi.Express";2;1,067;1,019;70;6,4;9
"Enkel.Mango.IPA";2;1,062;1,016;42;6,1;4
"Hoppily.Ever.After.1";2;1,065;1,016;71;6,4;8
"X.2.14..BrewCrate.s.Resolution.Red";4;1,054;1,008;13;6;13
"Stouts.Are.The.Best";2;1,061;1,015;37;5,9;5
"Day.Rate.Black.IPA";2;1,066;1,016;69;6,5;35
"Ace.of.Spades...Black.IPA";2;1,069;1,016;62;6,9;35
"MoreBeer.German.Hefeweizen";1;1,053;1,014;14;5,1;3
"KatastIPA";2;1,066;1,016;101;6,5;9
"Bells.Two.Hearted.Clone";2;1,066;1,017;44;6,4;6
"El.Dorado.IPA.1";2;1,063;1,012;61;6,7;6
"Earl.Grey.IPA..Gunnamatta.inspired.";2;1,066;1,016;52;6,6;8
"Knot.Mine";2;1,07;1,018;40;6,9;9
"IPA.2014..1";2;1,065;1,01;57;7,2;7
"Bush.Irish.Red";4;1,052;1,014;20;5,1;16
"Rudeboy.Red.Ale";4;1,051;1,014;24;4,9;18
"German.Pils.1";3;1,048;1,012;41;4,8;3
"Setoff.Summer.IPA";2;1,067;1,016;51;6,7;13
"Silverberry.Pils";3;1,047;1,009;34;5;3
"Cobb.s.IPA";2;1,06;1,018;59;5,6;10
"Linwood.IPA";2;1,063;1,016;56;6,2;9
"American.IPA.v1";2;1,074;1,018;69;7,3;10
"Christina.s.GF.Pale.Ale";2;1,061;1,014;61;6,1;7
"West.by.Midwest.IPA";2;1,062;1,015;60;6,2;7
"Rocky.Island.Weiss.ass";1;1,048;1,013;12;4,7;7
"Storm.of.the.Century";2;1,071;1,018;64;6,9;7
"Irish.Red.2";4;1,049;1,013;23;4,7;12
"Red.Duffer";4;1,045;1,013;27;4,2;13
"Baby.Jake.Ale";4;1,06;1,014;20;6;15
"Ginger.Juggs.Irish.Red";4;1,052;1,013;24;5,2;16
"Kaiser.Franz";3;1,045;1,011;29;4,5;2
"Micro.Pilsner";3;1,045;1,011;28;4,4;2
"Vitamin.C";2;1,061;1,015;60;6;7
"Regular.Red";4;1,056;1,013;22;5,7;16
"X0.Day.IPA";2;1,068;1,014;55;7,1;7
"Infidel..2011.05.021.version.";2;1,067;1,016;58;6,7;9
"A.Captain.s.IPA";2;1,065;1,016;59;6,3;8
"Legacy.IPA";2;1,071;1,018;62;6,9;6
"Bawlmer.Rye.IPA";2;1,063;1,016;59;6,2;7
"Single.hop.single.grain.IPA";2;1,058;1,015;68;5,6;6
"Bearwallow.IPA.I";2;1,062;1,011;66;6,7;9
"Snoo.Snoo.IPA";2;1,073;1,017;58;7,3;6
"Brent.s.India.Pale";2;1,068;1,016;43;6,7;8
"Golden.Cent.Amo.Ale";2;1,063;1,016;59;6,2;7
"Batch.79...Vintage.Hills.Celebration.IPA";2;1,064;1,013;67;6,7;10
"Why.d.You.Only.Call.Me.When.You.re.Rye";2;1,058;1,014;70;5,8;7
"Freedom.XPA";2;1,062;1,015;48;6,2;7
"Possum.Trot.Cent.Amo.Ale";2;1,064;1,016;46;6,3;6
"Wedding.IPA";2;1,063;1,017;68;6;7
"Red.Ale.Brewer.s.Best";4;1,05;1,013;19;5;13
"Single.Malt.IPA";2;1,057;1,015;48;5,5;6
"Snuggles.Pils";3;1,048;1,012;34;4,7;2
"Quotidian.IPA.version.2.10gal";2;1,064;1,016;41;6,3;10
"Red.Beard.Ale";4;1,047;1,013;23;4,5;14
"Lost.in.Translation";2;1,065;1,017;65;6,3;6
"Celebration.Clone..2012.01.22.version.";2;1,07;1,018;61;6,8;11
"Accidental.Lie.in..May.16th.";2;1,058;1,014;70;5,7;6
"Bell.s.Two.Hearted.Ale.Clone";2;1,07;1,01;67;7,9;7
"Irish.Red.3";4;1,054;1,014;18;5,2;14
"German.Pilsner.2";3;1,05;1,012;43;5;2
"Diamond.Not.10.06.13";2;1,06;1,014;49;6;10
"Mostly.All.Amarillo.IPA";2;1,066;1,018;68;6,3;8
"Big.Biff.Apricot.IPA";2;1,061;1,015;61;6;7
"Funk.Citra";2;1,059;1,012;55;6,1;7
"Hefeweisen.v1";1;1,051;1,013;12;5;3
"Beach.Wheat";1;1,051;1,014;15;4,8;2
"Prunches.Michale..1";4;1,046;1,012;22;4,5;14
"Glory.Hole";2;1,07;1,013;68;7,4;12
"Midwest.Irish.Ale";4;1,049;1,012;20;4,8;12
"Crazy.Squirrel.IPA";2;1,063;1,017;48;6;7
"X51.weeks.IPA";2;1,065;1,015;66;6,5;6
"Falconer.s.Flight.IPA";2;1,063;1,017;53;6;7
"ipah";2;1,063;1,013;66;6,6;7
"IPA.2";2;1,061;1,015;49;6;10
"Polar.Vortex.IPA";2;1,061;1,015;49;6,1;6
"BS5.IPA.with.Simcoe";2;1,069;1,016;60;6,9;9
"Mosiac.iPa";2;1,066;1,016;64;6,6;11
"Irish.Red.Ale..St..Patty.s.Day.2012.";4;1,055;1,014;23;5,4;13
"Keystone.American.IPA";2;1,057;1,013;69;5,8;6
"West.by.Midwest.IPA.2";2;1,06;1,016;53;5,8;7
"Space.Conquistador";2;1,06;1,016;60;5,7;10
"Slice.of.the.Black..lighter.";2;1,069;1,016;51;7;14
"Pauls.Irish";4;1,049;1,013;18;4,7;13
"Drakes.1500.Clone";2;1,056;1,013;59;5,6;9
"Citra.Session.IPA";2;1,057;1,016;46;5,4;7
"Nugget.IPA";2;1,068;1,018;68;6,6;6
"Festivus.Ale";2;1,07;1,017;65;7,1;11
"Hoppy.Medium.IPA";2;1,068;1,017;55;6,7;7
"Less.Bitter..2011.05.12.version.";2;1,064;1,016;59;6,3;6
"Bombay.IPA.1b";2;1,06;1,015;54;6;7
"Small.batch.Columbus.Pale";2;1,066;1,016;56;6,4;10
"The.Annexation.of.Puerto.Rico.IPA";2;1,061;1,014;66;6,1;6
"Fresh.Squeezed";2;1,065;1,015;65;6,5;9
"Passi√≥";1;1,049;1,012;13;4,8;4
"R√.llimets√.n.Vaiettu.Salaisuus....hopburst...";2;1,064;1,016;60;6,3;9
"Mike.s.Smoked.Red";4;1,049;1,014;22;4,6;12
"IPA.7.2015";2;1,074;1,017;43;7,4;6
"Tyler.s.All.Grain.Irish.Red.Ale";4;1,048;1,014;22;4,5;15
"Yep..All.Citra.Again..it.s.easy";2;1,06;1,015;49;5,9;7
"IPA.137";2;1,073;1,011;66;8,2;7
"Bass.Lake.Haze..n.Hops";2;1,057;1,015;50;5,5;11
"Hellbraun.Hefeweizen.v2";1;1,05;1,013;12;4,9;5
"Jeffy.the.heffe";1;1,052;1,013;14;5;2
"Wheat";1;1,05;1,014;14;4,8;5
"Gylatic.Pils";3;1,049;1,012;27;4,8;2
"IPA.in.Shed";2;1,07;1,01;47;7,8;7
"Not.Another.IPA";2;1,066;1,013;67;7;8
"Bohemian.Rap.Sudy";3;1,05;1,012;33;5;2
"Regal.Beagle.IPA";2;1,06;1,015;63;5,9;6
"Dead.Ringer.IPA..NB";2;1,071;1,018;51;6,9;7
"Lost.Comet";2;1,061;1,015;51;5,9;7
"Goosey.MacGooserton.Irish.Red.AG";4;1,046;1,012;22;4,5;13
"AG.Dead.Ringer";2;1,072;1,01;67;8,1;7
"Rhino.Fart.2";2;1,062;1,015;49;6,2;11
"Vipa";2;1,069;1,016;55;6,9;11
"Six.and.Tangent";2;1,061;1,011;60;6,5;7
"Golden.Amo.Cas.Ale";2;1,063;1,015;52;6,3;7
"Irish.Red.Ale.1";4;1,049;1,011;21;5;10
"Zythos.IPA";2;1,058;1,014;64;5,7;7
"Red.on.Head";2;1,059;1,015;66;5,8;13
"TFC..2.1";2;1,068;1,018;55;6,6;9
"Got.to.use.up.this.Citra";2;1,06;1,015;49;5,9;7
"Palisade.IPA";2;1,063;1,017;60;6;7
"Hefe.50..Split.Batch.";1;1,051;1,013;12;5;5
"Zajebiste.piwo.Kuby.2.HopSaaza7";1;1,047;1,012;12;4,6;3
"The.Native";4;1,052;1,012;23;5,2;13
"R√.yslimoen.IPA.v3...batch..06";2;1,056;1,015;68;5,3;8
"All.Hopped.Up.IPA";2;1,071;1,017;69;7,1;7
"Hubschrauber";1;1,052;1,014;11;5;3
"X16x.10.30.Pilsner";3;1,05;1,01;26;5,2;2
"Mans.Red.Flower";2;1,064;1,015;40;6,4;9
"Red.Ale";4;1,05;1,012;20;5;13
"IPA..1.1";2;1,062;1,016;53;6,1;6
"Leftover.IPA";2;1,07;1,016;61;7;9
"Hell.Bent.Pils...Kolsch.Yeast..2011.06.19.version.";3;1,05;1,013;40;4,8;2
"Tron.s.Irish.Red.nr.1";4;1,049;1,014;23;4,5;15
"Tight.Lines.IPA..2011.04.29.version.";2;1,068;1,018;69;6,6;6
"Blind.Hawg";2;1,061;1,014;55;6,1;6
"Down.Under.IPA..O.Connor.s.";2;1,057;1,014;59;5,6;7
"Two.Hearted.Clone.Attempt";2;1,062;1,016;51;6;6
"Baby.Blues.Away.IPA";2;1,064;1,016;57;6,3;7
"Danya.s.Day.Off";2;1,059;1,014;61;5,9;6
"East.Coast.IPA.with.Meyer.Lemon";2;1,066;1,017;56;6,5;7
"BC13.Green.Tooth.IPA";2;1,068;1,017;44;6,7;7
"Tight.Lines.IPA";2;1,068;1,018;69;6,6;6
"Wedding.wheat";1;1,051;1,014;15;4,8;2
"Pacific.IPA";2;1,064;1,015;48;6,4;7
"San.Diego.IPA";2;1,063;1,013;55;6,5;6
"Fine.Mountain.Lilikoi.IPA";2;1,068;1,016;65;6,8;8
"Height.Herup.Exalts.It.Irish.Ale";4;1,053;1,014;22;5,1;16
"Cen.Am.Ale";2;1,064;1,016;44;6,3;6
"Easy.Hefe";1;1,049;1,013;14;4,7;3
"Possum.Trot.Replay.Cent.Amo.Ale";2;1,064;1,016;45;6,3;6
"American.IPA.1";2;1,069;1,018;40;6,6;8
"Hopnormous.Double.IPA";2;1,068;1,018;44;6,6;8
"Dead.Ringer.IPA..BIAB...Small.Batch.";2;1,063;1,016;46;6,2;8
"McNelis..Irish.Red";4;1,058;1,014;22;5,7;15
"Mela.Red.Ale";4;1,047;1,014;17;4,3;12
"German.Pilsner..1";3;1,048;1,013;27;4,6;2
"≈.ywiec";3;1,048;1,013;30;4,6;3
"March.IPA";2;1,062;1,016;69;6;10
"Ruaidr√.";4;1,052;1,013;27;5,1;14
"DownUnder";2;1,07;1,017;59;7,1;7
"MO.Amarillo.SMASH";2;1,061;1,015;56;6;6
"ipa.1";2;1,061;1,014;65;6,1;7
"Siuslaw.IPA";2;1,062;1,015;47;6,3;8
"VandalEyes.PA";2;1,07;1,017;53;6,9;8
"Dead.Ringer.IPA.2";2;1,067;1,017;55;6,6;7
"Spankies.German.Pils";3;1,05;1,01;36;5,2;2
"Single.Malt.IPA.1";2;1,071;1,017;62;7,1;6
"Roll.on.Columbia";2;1,064;1,017;63;6,2;12
"Centennial.Delight";2;1,066;1,016;52;6,6;7
"Untitled.Weizen.Weissbier.162387";1;1,052;1,013;12;5,1;5
"Late.Night.IPA";2;1,057;1,011;50;6;8
"sorta.kinda.NB.Patersbier";3;1,049;1,012;25;4,8;2
"Brewers.Best..Red.Ale.Kit";4;1,05;1,012;20;5;13
"Half.hung.Red";4;1,051;1,013;22;5;13
"Red.Ale.1";4;1,05;1,014;24;4,7;12
"Flying.Monkey...Smashbomb.Atomic.IPA.Clone";2;1,064;1,017;68;6,2;11
"All.Citra.Again";2;1,06;1,015;49;5,9;7
"X.53.IPA";2;1,063;1,012;63;6,7;7
"Polaris";3;1,049;1,013;43;4,8;2
"Vienna.IPA..mk.4";2;1,06;1,012;62;6,3;9
"Fresh.NZAPA";2;1,06;1,014;44;6;6
"Brewer.s.Best.Red.Ale";4;1,052;1,012;25;5,1;13
"Traditional.Hefe";1;1,051;1,013;12;5;3
"Bridgeport.IPA";2;1,058;1,016;46;5,5;7
"Judges.Pick.IPA";2;1,059;1,013;57;6;7
"Bryan.s.Irish.Red";4;1,049;1,012;23;4,9;12
"SMSH..Opal.";3;1,048;1,012;31;4,8;2
"Columbus.IPA.1";2;1,063;1,015;48;6,3;6
"Hefe.1";1;1,048;1,012;13;4,7;3
"DTs.Debauchery.Irish.Ale";4;1,059;1,013;22;6;14
"Carlsberg.Clone";3;1,049;1,012;26;4,8;2
"Melfstar.Red";4;1,051;1,013;22;5;12
"German.Pils.Wedding.Edition";3;1,048;1,01;28;5;3
"Zombie.Dust.Variant";2;1,06;1,014;68;6;9
"HGIPA";2;1,063;1,013;57;6,5;8
"Pilsy";3;1,047;1,012;26;4,6;3
"DanK.IPA.20.";2;1,061;1,013;52;6,4;9
"Boulevard.Irish.Ale.Clone";4;1,053;1,011;22;5,5;16
"Wedding.Weizen";1;1,048;1,013;10;4,7;2
"Summer.Solstice.Pils";3;1,049;1,011;36;4,9;2
"Clear.Day";3;1,05;1,013;36;4,8;2
"Inbred.Red";4;1,05;1,013;19;4,8;14
"Zeus.on.the.Summit.with.a.Citra.Amarillo";2;1,07;1,017;67;6,9;8
"Golden.Citra.Ale";2;1,063;1,016;58;6,2;7
"Eire.Ay";4;1,054;1,014;21;5,3;13
"American.IPA.2";2;1,06;1,016;65;5,8;11
"Resolved.IPA";2;1,065;1,016;62;6,4;8
"MYIPA";2;1,067;1,016;54;6,7;9
"Weissbier..Nelson.Sauvin.Hopped.";1;1,05;1,013;13;4,9;3
"Cascade.IPA.2";2;1,067;1,01;48;7,4;9
"DelaHefeweizen";1;1,05;1,012;11;5,1;3
"Damberts.3.0.IPA..2011.07.07.version.";2;1,063;1,015;62;6,4;6
"pelirrojo";4;1,053;1,013;24;5,2;15
"Chinook.IPA.2";2;1,068;1,018;69;6,6;6
"Citra.Ale..OR.Water.";2;1,063;1,016;50;6,2;6
"Midwest.Supplies..Irish.Red.Ale.Kit";4;1,049;1,01;25;5,1;12
"Amarillo.Ale.with.Victory.Malt..2012.07.28.version.";2;1,065;1,016;65;6,4;8
"Amarillo.by.morning";2;1,061;1,016;66;5,9;9
"Sam.Adam.Noble.Clone";3;1,047;1,011;38;4,7;2
"The.Pils.that.Ills";3;1,049;1,011;36;5;2
"Cascade.IPA.3";2;1,061;1,015;64;6;7
"Magic.Elf";2;1,068;1,015;41;6,9;8
"Modified.Midwest.Irish.Red";4;1,048;1,013;17;4,6;11
"SorGood.IPA";2;1,065;1,016;62;6,4;6
"PALIPA";2;1,062;1,015;58;6,2;12
"Parents.in.Town";2;1,06;1,018;66;5,5;7
"Midwest.s.Irish.Red.Ale";4;1,049;1,012;23;4,8;12
"The.Pink.Elephant";1;1,05;1,013;12;4,9;3
"Raspberry.Pilsner";3;1,048;1,011;29;4,8;5
"Penney.Pils";3;1,049;1,01;39;5,2;3
"El.Hef.e";1;1,052;1,013;15;5,1;3
"Midwest.Supplies..Irish.Red.Ale.Kit.1";4;1,049;1,013;25;4,7;12
"Golden.Cent.Amo.Cas.Ale";2;1,063;1,016;58;6,2;7
"Too.Many.Pils";3;1,047;1,012;40;4,7;2
"X141...Irish.Red";4;1,049;1,013;27;4,7;18
"Julie.and.Dan.Pale.Ale";2;1,072;1,017;46;7,2;10
"X62.Truck.Irish.Red.Ale";4;1,049;1,013;21;4,7;12
"Modified.Two.Hearted.Clone";2;1,074;1,011;57;8,3;7
"Standard.IPA";2;1,066;1,016;59;6,6;6
"X7th.Paramount.Brew";2;1,063;1,016;63;6,2;8
"Oaken.Fist.2015";2;1,062;1,016;48;6,1;11
"R√.yslimoen.IPA...batch..01";2;1,06;1,014;56;6;8
"Green.Eyes";4;1,049;1,011;20;5;17
"Joe.s.Irish.Red.Ale";4;1,058;1,012;27;6,1;15
"Ripley.s.Irish.Red";4;1,052;1,012;23;5,3;15
"Amber.IPA";2;1,061;1,015;59;6;10
"Bullcity.Hefe";1;1,046;1,012;14;4,5;3
"Fresh.Squeezed.IPA";2;1,062;1,015;63;6;10
"Noble.Pils";3;1,044;1,011;42;4,3;2
"December.Cent.Amo.Ale";2;1,064;1,016;58;6,3;6
"Haller.Heffy";1;1,047;1,012;15;4,6;5
"Kornuit";3;1,05;1,011;39;5,1;2
"Whitey";1;1,051;1,013;12;5;2
"PrimaDonna.Pils";3;1,048;1,012;42;4,7;2
"Poppy.s.Irish.Red";4;1,045;1,012;23;4,3;12
"The.Shoe";4;1,048;1,013;23;4,6;13
"SHMIPA";2;1,066;1,016;42;6,6;8
"Binary.Pils";3;1,05;1,012;29;5;2
"Ugly.Stick";2;1,072;1,017;52;7,2;8
"Szabad.S√≥lyom";2;1,064;1,014;52;6,5;6
"Itrus.Pale.Ale";2;1,065;1,016;62;6,3;8
"Experimental.Irish";4;1,049;1,013;19;4,7;12
"Dual.Crystal.Citra.Ale";2;1,064;1,016;50;6,3;6
"Perfect.day.IPA";2;1,07;1,018;61;6,8;8
"IPAlone";2;1,06;1,017;45;5,7;7
"South.Coast.IPA";2;1,059;1,011;62;6,3;6
"Finger.Roll.IPA";2;1,068;1,015;52;7;9
"Hoppy.Seconds..Citra.IPA.";2;1,069;1,016;67;7;8
"Juicy.Juice";2;1,069;1,017;57;6,7;6
"IPA.experiment.11.7.2015";2;1,067;1,014;66;7;8
"Eight.Ounce.IPA";2;1,067;1,015;55;6,8;7
"Pine.Barrens.IPA";2;1,065;1,015;55;6,5;8
"Citrus.IPA.2016";2;1,068;1,016;67;6,8;6
"Late.Addition.IPA";2;1,057;1,014;69;5,6;8
"Ten4";2;1,063;1,015;55;6,3;6
"Fat.Woody.s.Irish.Red";4;1,047;1,012;21;4,6;9
"Naughty.Leprechaun";4;1,049;1,013;20;4,7;14
"Rari.s.Amarillo.IPA..5g.";2;1,062;1,015;53;6,2;7
"O.leary.s.No.touch.F.en.Red";4;1,05;1,014;23;4,7;12
"Amarillo.Post.Road.IPA";2;1,065;1,016;69;6,4;14
"Simcoe.IPA.1";2;1,067;1,017;66;6,6;12
"Citra.Amarillo.Centennial.IPA";2;1,058;1,016;54;5,6;7
"Beerculese";2;1,061;1,016;46;5,9;6
"Magnum.Amarillo.IPA";2;1,063;1,015;64;6,3;10
"Brewer.s.Best.Red.Ale.1";4;1,051;1,013;23;5;13
"Irish.Red..12";4;1,049;1,013;25;4,7;12
"ipa";2;1,059;1,014;43;5,9;10
"Draugr.IAPA";2;1,065;1,016;59;6,4;7
"Irish.Red.4";4;1,05;1,014;22;4,7;12
"Two.Hearts.Together.Ale";2;1,056;1,014;58;5,5;7
"May.IPA";2;1,059;1,015;62;5,8;11
"Cascade.IPA.4";2;1,068;1,017;70;6,7;6
"Small.Round.Oranges";2;1,058;1,014;57;5,8;6
"R.F..Hefe.II";1;1,05;1,013;12;4,9;3
"Misfit.Red";4;1,05;1,014;22;4,8;15
"Firewater.IPA.5g";2;1,074;1,017;68;7,4;7
"Killick.s.Almost.Single.Malt.India.Pale.Ale.v2";2;1,072;1,017;54;7,2;6
"Golden.Citra.Ale..2012.08.11.version.";2;1,063;1,016;57;6,2;7
"SHG.Columbus";2;1,066;1,017;56;6,5;9
"X5.Alive.Wheat";1;1,05;1,013;13;4,8;3
"London.Cent.Amo.Ale";2;1,063;1,016;49;6,2;7
"Citra.Simcorillo.IPA";2;1,071;1,018;63;7;8
"Middle.Road.IPA";2;1,068;1,016;57;6,8;8
"Less.Bitter";2;1,064;1,016;59;6,3;8
"TNT.s.Cascadian.Ale";2;1,065;1,016;43;6,4;7
"BRP007.red.ale.all.grain.starter.trial";4;1,051;1,012;23;5,1;13
"Ginger.Kid";4;1,048;1,013;23;4,6;13
"CritraAm.Ale";2;1,064;1,016;48;6,3;6
"DK.s.Original.IPA..Hog.s.Neck.Brewing.";2;1,069;1,013;54;7,4;9
"Apollo.Ale";2;1,057;1,015;67;5,5;7
"Red.Clover";4;1,058;1,012;27;6,1;13
"X.030..Golden.Bull";2;1,069;1,011;60;7,5;7
"Citra.IPA";2;1,059;1,018;40;5,4;8
"weizen";1;1,05;1,012;13;5;3
"IPA.Nima.2";2;1,066;1,015;68;6,6;10
"Pilsener";3;1,05;1,013;35;4,8;2
"Pilsner.1";3;1,05;1,013;36;4,8;2
"Jag.off.Jaggery.IPA";2;1,06;1,014;67;6;11
"X.017.Seat.of.my.Pants.IPA";2;1,071;1,01;67;8;9
"Diamond.Not.IPA.9.28.14";2;1,067;1,014;47;6,9;11
"IPA.4";2;1,071;1,016;43;7,2;9
"Ahtanum.Golden.Ale";2;1,063;1,016;62;6,2;7
"Santiam.German.Pilsner";3;1,047;1,012;35;4,6;2
"American.IPA.3";2;1,067;1,017;41;6,5;8
"X16x.10.35.Pilsner";3;1,05;1,01;30;5,2;2
"Blazing.World.from.Modern.Times.beersmith.link";2;1,067;1,017;63;6,6;8
"Nugget.IPA.1";2;1,059;1,015;68;5,8;8
"X.PA";2;1,072;1,018;60;7,1;11
"Smokin.Red";4;1,059;1,012;26;6,1;15
"Hasty.IPA..Oktoberfest.2012.";2;1,061;1,015;59;6;10
"TNT.s.Cascadian.Ale..2011.07.02.version.";2;1,065;1,016;43;6,4;7
"Turtle.Rye.IPA";2;1,063;1,014;58;6,5;8
"Dead.Ringer.IPA.3";2;1,067;1,017;55;6,6;7
"Chewalla.IPA";2;1,067;1,018;40;6,4;8
"Big.Smile.IPA";2;1,061;1,013;55;6,3;10
"Dampfbier";1;1,051;1,01;14;5,3;5
"La.Vie.Boheme";3;1,05;1,011;34;5;2
"Rye.RA";2;1,064;1,015;58;6,5;13
"Big.Smile.IPA.1";2;1,061;1,013;55;6,3;10
"Ginger.Tart";4;1,049;1,013;18;4,7;11
"Golden.Citra.Ale..Dedicated.to.Jim.and.Trish.";2;1,063;1,015;57;6,3;7
"Hopbiscus";2;1,068;1,018;47;6,6;9
"Dublin.Red";4;1,053;1,014;23;5,1;12
"Columbus.IPA.2";2;1,068;1,018;68;6,6;6
"Forrest.IPA";2;1,059;1,012;68;6,2;7
"Rosy.Cheeks";2;1,072;1,01;62;8,1;11
"Hefeweizen.1";1;1,049;1,012;12;4,8;2
"That.Horse...Lager..";3;1,05;1,012;32;4,9;2
"Feral.Hop.Hog.Clone";2;1,058;1,013;45;5,8;6
"Black.IPA.1";2;1,063;1,016;69;6,2;11
"Pilsner";3;1,044;1,011;25;4,3;2
"Amarillo.Ale.with.Victory.Malt";2;1,065;1,016;65;6,4;8
"Business.Time";2;1,068;1,017;59;6,7;12
"Red.Doug";4;1,05;1,013;20;4,8;13
"Captain‚..s.HofbrauÃ..Clone.II";3;1,049;1,012;36;4,8;3
"Rapid.Fire.Wheat.Beer";1;1,044;1,011;11;4,3;3
"Spring.2011.IPA";2;1,068;1,017;52;6,7;7
"El.Hefe";1;1,052;1,013;14;5,1;2
"Double.Cocked.Hefe";1;1,05;1,013;14;4,8;2
"X.2.FuggleNugget.IPA";2;1,059;1,016;65;5,7;8
"Big.Mistake.APA";2;1,064;1,014;60;6,5;12
"En.liten.weissbier";1;1,047;1,011;12;4,8;2
"Cascade.IPA.5";2;1,073;1,013;66;7,9;8
"Explosive.IPA.Part.Deux";2;1,063;1,017;45;6;6
"PentaBr√.l";2;1,063;1,013;60;6,6;11
"Continuous.IPA";2;1,07;1,01;53;7,8;9
"Danish.Lager";3;1,05;1,012;29;4,9;3
"hoppy.hour.hero";2;1,058;1,015;55;5,6;11
"junior.brown.IPA";2;1,07;1,017;49;6,9;12
"Allen...Dave.s.Excellent.IPA";2;1,064;1,015;67;6,3;9
"Infidel..2012.01.07.version.";2;1,067;1,016;57;6,7;9
"smash";2;1,068;1,016;67;6,8;6
"B2.IPA";2;1,068;1,017;49;6,7;7
"Fast.red";4;1,044;1,012;27;4,2;13
"Angelito¬.s.IPA.Cascade";2;1,071;1,01;52;7,9;10
"Hop.to.conclusions";2;1,057;1,014;65;5,8;10
"Batch.1...NIPA";2;1,057;1,013;53;5,7;7
"IPA.w..Marris.Otter";2;1,074;1,018;51;7,3;14
"Bear.With.Me.IPA";2;1,069;1,015;57;7;7
"Weissbeier";1;1,05;1,013;13;4,9;3
"Red.Mearle.Ale";4;1,055;1,014;25;5,4;14
"One.Hot.Redhead";4;1,049;1,013;24;4,7;13
"Dark.Side..Irish.Red.";4;1,044;1,012;21;4,2;17
"Rakau.Single.Hop.IPA..Group.Project.";2;1,063;1,016;45;6,1;6
"Heinekan.clone..adapted.from.Dave.Line.1978.";3;1,046;1,012;29;4,5;2
"King.Brian.s.Poteen";4;1,05;1,012;28;5,1;11
"BS5.IPA";2;1,061;1,014;47;6,1;8
"X5.G.Citra";2;1,063;1,016;43;6,2;9
"Pierian.Spring";1;1,052;1,013;10;5,1;3
"Try.Try.Again";4;1,051;1,014;18;4,8;16
"Juelstrup...Commonwealth.IPA.s";2;1,066;1,018;63;6,3;8
"meh..zombies";2;1,066;1,016;58;6,6;7
"X.Those.nutty.Pennocks..Ale";4;1,05;1,014;25;4,8;11
"Pale.Mk..3";2;1,057;1,011;45;6;12
"‡..‡...‡..‡..‡.≤.‡..‡..‡.≤‡..‡..";2;1,075;1,018;51;7,5;6
"Alsea.IPA";2;1,06;1,014;62;6;7
"X.B1..M..IPA";2;1,069;1,016;48;6,9;7
"Weissbier..Spring.2011";1;1,051;1,012;12;5,1;6
"Alpha.Ale.1.0";2;1,068;1,017;58;6,7;7
"Firecracker.Spicy.IPA";2;1,064;1,017;47;6,2;8
"German.Pilsner..2";3;1,046;1,013;31;4,3;3
"TARDIS.IPA..Schlafly.TIPA.clone.";2;1,07;1,018;84;6,8;5
