"";"Style";"OG";"FG";"IBU";"ABV";"Color"
"Untitled.American.IPA";2;1,065;1,016;49;6,4;14
"Chinook.IPA.4";2;1,064;1,018;54;6;7
"Mad.Dog.IPA";2;1,069;1,017;69;6,8;8
"Carapils.liberty.ale";2;1,068;1,018;61;6,6;8
"Limon.Heffe";1;1,052;1,011;11;5,3;3
"Pioneer.Ale";2;1,072;1,017;65;7,2;12
"Lemon.SamuraIPA";2;1,057;1,014;69;5,6;6
"Kiwi.Express.1";2;1,06;1,013;65;6,1;6
"Late.Summer.IPA";2;1,071;1,01;63;7,9;12
"Primhovda.Hefeweizen";1;1,049;1,013;12;4,7;2
"Mad.Dog.IPA.1";2;1,069;1,017;69;6,8;8
"Ahtanum.Simcoe.IPA";2;1,064;1,017;62;6,2;8
"Flying.Dog.Raging.Bitch.Inspired";2;1,058;1,015;49;5,6;10
"DanK.IPA.the.13th";2;1,063;1,013;62;6,6;7
"Dr.Ropata.s.Pale.Ale";2;1,059;1,018;60;5,4;7
"Indy.Pale.Ale";2;1,058;1,016;67;5,5;7
"Adirondack.Chair.IPA";2;1,059;1,012;57;6,1;9
"Let.s.Get.Small...Amarillo";2;1,062;1,015;66;6,2;6
"iPA.One.Point.Oh";2;1,067;1,017;49;6,6;7
"Rye.American.IPA";2;1,062;1,012;52;6,6;6
"B√.rs.H√.kan.Real.APA";2;1,075;1,01;61;8,4;9
"Hop.Hog.Clone";2;1,066;1,012;66;7;7
"BE.Hop.Venom";2;1,073;1,011;61;8,2;8
"Canadian.IPA";2;1,063;1,016;67;6,2;8
"Combat.Hopkido.IPA";2;1,066;1,017;57;6,5;8
"BMW.Wheat";1;1,051;1,013;14;5;4
"Wife.weizen..W1.";1;1,052;1,013;13;5,1;3
"Bearded.Nebula.IPA";2;1,062;1,017;69;5,9;7
"Weizen";1;1,051;1,013;13;5;2
"IRA";4;1,05;1,014;24;4,8;16
"Pat.s.IPA";2;1,067;1,017;64;6,6;8
"Dat.stressy.AIPA";2;1,062;1,015;69;6,2;7
"Last.Minute.IPA";2;1,069;1,017;66;6,8;8
"Why.PA";2;1,067;1,013;58;7;6
"West.Coast.Blaster";2;1,066;1,016;50;6,4;7
"Little.Puff.Smoked.IPA";2;1,068;1,017;70;6,7;6
"Blueberry.Hefe";1;1,044;1,011;12;4,3;3
"X2..Feayor";3;1,048;1,012;36;4,7;5
"Hop.Solo..Mosaic.Single.Hop.IPA.";2;1,061;1,014;62;6,2;10
"CBS.American.IPA";2;1,059;1,014;53;5,9;10
"Bell.s.Two.Hearted.all.grain";2;1,058;1,014;61;5,8;7
"Honey.Rye.IPA";2;1,066;1,017;54;6,4;10
"Belgian.IPA..10g.";2;1,066;1,016;52;6,6;7
"English.Amber.Ale";4;1,05;1,013;20;4,7;11
"CH.IPA.4...Mod.6";2;1,066;1,016;48;6,5;11
"Sierra.Madre";2;1,056;1,013;56;5,6;8
"Downtown.IPA..2";2;1,059;1,015;67;5,8;10
"Gnarly.IPA";2;1,068;1,016;52;6,8;8
"Mrod.IPA";2;1,06;1,016;55;5,7;11
"OtPA";2;1,069;1,017;49;6,7;12
"Riki.Tiki.Simcoe.IPA";2;1,06;1,016;62;5,8;8
"Osama.IPA";2;1,059;1,014;63;5,9;9
"West.Coast.Style.IPA";2;1,061;1,016;47;5,9;7
"Chinook.Citra.IPA...Lower.OG";2;1,061;1,012;50;6,5;8
"Beauty.and.the.Yeast";1;1,051;1,013;12;5;3
"LagerWanker";3;1,05;1,011;38;5;3
"Quadruple.J.Red.IPA";2;1,063;1,015;40;6,3;15
"Cascade.Citra.IPA..2013.04.06.";2;1,062;1,015;64;6,2;11
"Irish.Red.Ale..2";4;1,055;1,014;20;5,4;17
"Shadow.IPA";2;1,064;1,017;68;6,1;14
"Grapefruit.Summer.IPA";2;1,065;1,017;58;6,3;7
"Dawg.Weiss";1;1,048;1,013;12;4,5;6
"IPA.10";2;1,071;1,018;56;6,9;9
"Pinto.IPA";2;1,066;1,017;64;6,4;8
"Mrs.Velkyal.s.Session.Beer";4;1,048;1,014;20;4,5;15
"K.s.Mystery.Mix.IPA";2;1,058;1,015;43;5,7;6
"Hell.of.a.Day.IPA";2;1,065;1,014;63;6,7;9
"Shiva.Kitty";2;1,059;1,015;51;5,8;8
"The..C..Word.IPA";2;1,073;1,015;63;7,6;12
"Hoppy.Hour";2;1,07;1,018;62;6,8;14
"Snuggles.Hefe.V2..2010.08.06.version.";1;1,048;1,011;11;4,8;5
"Karnowski";2;1,065;1,016;50;6,4;6
"Belma.SMaSH";2;1,058;1,014;68;5,8;6
"Rupert.IPA";2;1,072;1,017;52;7,1;13
"Hefeweizen.I";1;1,052;1,012;11;5,2;3
"Mosaic.IPA.1";2;1,06;1,013;58;6,1;10
"Cloud.9.IPA";2;1,063;1,018;44;5,9;9
"O..My.Soul";2;1,07;1,016;67;7;8
"Misfit.Love";4;1,052;1,012;24;5,2;16
"Double.IPL";2;1,07;1,017;55;6,8;9
"Rye.Centennial.IPA";2;1,07;1,017;59;6,9;8
"Untitled.Irish.Red.Ale.153716";4;1,045;1,012;21;4,3;14
"wastafeson";1;1,052;1,013;10;5,1;2
"El.Hefe.1";1;1,051;1,012;13;5,1;7
"Ruby.Mosaic";2;1,063;1,016;50;6,1;6
"Bee.Cave.Hefeweizen";1;1,051;1,013;12;4,9;3
"Bells.Two.Hearted";2;1,067;1,013;46;7;6
"Bells.Two.Hearted.Galaxy.DH";2;1,067;1,013;46;7;6
"Eidelweiss..BBS.";1;1,051;1,013;13;5;5
"An.American.IPA.in.London";2;1,068;1,017;65;6,6;9
"X.114.Clone";2;1,068;1,017;64;6,7;9
"Watermelon.Weizenbier";1;1,049;1,013;11;4,8;3
"Deep.Red.Ale";2;1,056;1,013;44;5,6;11
"Spapoop.IPA";2;1,068;1,018;57;6,6;8
"Northern.Brewer.Dead.Ringer.IPA.1";2;1,064;1,015;56;6,4;8
"Citraholic";2;1,061;1,016;61;6;7
"Em.s.WIPA";2;1,066;1,015;48;6,7;7
"Hopricot.IPA";2;1,069;1,017;58;6,8;10
"Mango.Madness.Pale.Ale";2;1,058;1,016;55;5,5;8
"Mama.K.IPA";2;1,069;1,017;61;6,8;10
"Mad.Tom.IPA.Clone";2;1,069;1,017;60;6,8;9
"Munich.IPA";2;1,056;1,014;57;5,5;8
"RyePuh.";2;1,064;1,016;51;6,3;8
"Father.s.Day.Ipa.II";2;1,068;1,017;66;6,7;7
"Christmas.IPA...Lighter";2;1,065;1,015;46;6,5;7
"Mango.Chipotle.IPA";2;1,071;1,017;41;7,1;6
"Single.Hop..Pearle.";2;1,066;1,017;52;6,4;7
"Blue.IPA";2;1,061;1,015;58;6;6
"Mystery.Manor.Pale.Ale";2;1,058;1,016;46;5,5;7
"Spring.Weizen";1;1,052;1,014;13;4,9;3
"Founders.300esq";2;1,066;1,017;68;6,4;6
"Manini.IPA";2;1,069;1,014;69;7,2;6
"Dead.Ringer.1";2;1,064;1,017;58;6,2;8
"Longleaf.Hefe";1;1,047;1,011;9;4,7;6
"Columbus.IPA.3";2;1,067;1,017;55;6,6;8
"Immortal.Clone";2;1,066;1,017;48;6,4;8
"Dog.Day.IPA";2;1,062;1,016;66;6,1;8
"Standard.Hefe";1;1,052;1,013;9;5;4
"Conan.the.IPA";2;1,067;1,017;68;6,6;6
"Simple.IPA";2;1,07;1,018;60;6,9;9
"Snuggles.Hefe.V2";1;1,048;1,012;11;4,7;5
"Order.60.Six";2;1,057;1,014;60;5,6;9
"Greenbelt.IPA";2;1,073;1,017;66;7,2;9
"HefeWheat";1;1,045;1,011;13;4,4;4
"Falconer.s.flight.IPA";2;1,068;1,017;58;6,7;7
"IRA.1";2;1,06;1,018;60;5,5;14
"Single.Hop.Rakau.IPA.Test.2";2;1,071;1,014;62;7,4;10
"Vermont.Hill...IPA";2;1,07;1,014;66;7,3;7
"Deadringer.IPA..NB.Kit.";2;1,064;1,013;59;6,6;9
"Averagely.Perfect.American.IPA";2;1,064;1,017;61;6,1;7
"Tubby.s.IPA..2012.02.20.version.";2;1,068;1,015;65;6,9;6
"First.electric.ryepa";2;1,059;1,015;52;5,8;9
"Punch.You.in.the.IPA";2;1,065;1,013;48;6,8;7
"UBrew.APA";2;1,056;1,011;51;5,9;9
"Raspberry.Wheat";1;1,05;1,012;10;5;3
"First.Pilsner";3;1,05;1,013;25;4,9;2
"OEA";2;1,057;1,014;45;5,6;7
"Equinox.Simcoe";2;1,071;1,014;70;7,4;8
"Fiesta.Ale";2;1,072;1,017;60;7,2;11
"Fogu";2;1,066;1,018;48;6,3;10
"X.029..Red.Beard.McBrewinagin";4;1,052;1,014;21;4,9;15
"Hammerface.IPA";2;1,068;1,016;61;6,8;7
"TOTAL.BS.IPA";2;1,063;1,016;54;6,2;6
"RyRyePA";2;1,069;1,017;51;6,8;11
"TNT.IPA";2;1,065;1,017;65;6,3;8
"Apthorp.Ale";2;1,063;1,016;44;6,2;9
"Heavy.Rye";2;1,065;1,012;46;7;11
"Older.Not.Weisser";1;1,05;1,013;14;4,9;2
"Appa.s.IPA";2;1,073;1,011;69;8,2;8
"Forty.Five.Minutes";2;1,058;1,017;69;5,3;9
"Ska.Loose.Interpretation";2;1,074;1,017;66;7,4;8
"My.First.beer";3;1,045;1,011;27;4,5;4
"Formiga.American.IPA...metric";2;1,071;1,018;55;7;7
"Study.In.Victory..1";2;1,066;1,016;53;6,5;9
"Victory.Brew";2;1,067;1,018;56;6,4;9
"SMash..Honey.malt";2;1,065;1,018;48;6,3;7
"Nugget.light";2;1,062;1,015;45;6,1;6
"Sierra.Nevada.Celebration";2;1,061;1,015;64;6;10
"Kitchen.Sink.Hop.and.Rye";2;1,07;1,014;51;7,3;12
"Lord.Kelvin.IPA";2;1,059;1,015;47;5,8;14
"Irish.Immigrant.Red.Ale";4;1,052;1,014;25;5;10
"Elgin.IPA";2;1,066;1,016;59;6,5;8
"chinook.ipa";2;1,065;1,016;66;6,4;9
"Fresh.Squeezed.V2";2;1,06;1,014;56;6,1;6
"Bell.s.Two.Hearted.Clone..2.Gallon.BIAB.";2;1,064;1,015;56;6,4;8
"Sierra.Nevada.Style.IPA";2;1,065;1,016;68;6,4;7
"B.E.E.R";2;1,065;1,013;57;6,8;6
"Lagunitas.IPA.Style";2;1,059;1,018;59;5,4;7
"IPA.1.0";2;1,067;1,017;56;6,5;11
"BRP010.standard.red.ale";4;1,056;1,013;25;5,6;12
"X68CitraIPA";2;1,072;1,01;64;8,1;13
"whamber";2;1,063;1,015;51;6,3;11
"CIPA";2;1,068;1,016;62;6,8;14
"Fruit.Bomb.IPA";2;1,067;1,016;58;6,7;9
"ABC.Brewing...Hop.Sanatorium";2;1,061;1,014;55;6,1;7
"Nelson.IPA";2;1,065;1,016;48;6,4;7
"J.B.IPA..Extract.";2;1,063;1,016;67;6,1;12
"Nye.P.Eh";2;1,067;1,018;46;6,4;9
"Ipana";2;1,058;1,013;51;5,9;6
"Ranting.Ricky.s.Rye";2;1,063;1,016;58;6,1;7
"Rain.Delay.v2";2;1,065;1,013;45;6,8;7
"Hefe.3";3;1,046;1,011;26;4,5;4
"Warrior.Single.Hop";2;1,061;1,016;59;5,9;10
"PEAK.IPA.CLONE..2011.11.23.version.";2;1,064;1,017;58;6,2;9
"Dead.Ringer.by.Frostbrewer";2;1,068;1,017;66;6,7;10
"All.Grain.Hefe";1;1,048;1,012;13;4,7;4
"Revolutionary.Rebel.IPA";2;1,066;1,018;47;6,3;6
"Franklin.IPA.2.0";2;1,061;1,016;53;5,8;7
"Summer.Hefe";1;1,05;1,012;14;4,9;4
"Ruthless.Aye";2;1,064;1,013;53;6,7;11
"O.Leary.s.Cow";4;1,05;1,014;27;4,7;13
"Hefe.pils";1;1,046;1,012;13;4,6;5
"Better.than.Oscar.IPA";2;1,072;1,018;70;7,1;9
"GOLDEN.WEIZEN";1;1,048;1,013;11;4,7;4
"Mighty.Orange.IPA.2012.10.11";2;1,056;1,015;69;5,4;9
"Weiss.Weiss.Baby";1;1,047;1,012;12;4,7;3
"X3.11.IPA";2;1,065;1,018;66;6,2;7
"Odds.and.Ends.IPA";2;1,071;1,01;56;7,9;11
"Oktoberfest.IPA";2;1,069;1,017;62;6,8;11
"Sierra.Nevada.Celebration.Clone";2;1,063;1,017;66;6;9
"Amarillo.Simco.Lagunitas.Yeast.IPA";2;1,061;1,015;57;6;6
"wei.zo.serious.";1;1,051;1,013;15;5;3
"Midwest.Irish.Red.Kit";4;1,048;1,012;19;4,7;9
"Belma.WIPA";2;1,056;1,014;54;5,5;7
"Gallon.IPA";2;1,058;1,014;41;5,8;10
"Half.Mash.IPA";2;1,07;1,018;56;6,8;8
"PGB.IPA.2G";2;1,059;1,015;49;5,8;6
"Ghost.Fish.IPA";2;1,06;1,014;58;6;6
"Untitled.American.IPA.156300";2;1,073;1,017;60;7,2;10
"AHS.Winter.IPA";2;1,067;1,013;66;7;10
"Grandpops.Broken.Coaster.IPA";2;1,068;1,018;67;6,6;6
"Initial.IPA";2;1,057;1,011;59;6;8
"Lavender.IPA";2;1,064;1,017;57;6;6
"IIPA";2;1,063;1,017;68;6;8
"Red.IPA.1";2;1,068;1,017;67;6,7;15
"IL.2.CO";2;1,063;1,016;53;6,2;10
"Fantasy.IPA";2;1,067;1,014;51;6,9;8
"Green.Tea.IPA.Redux";2;1,068;1,017;41;6,7;7
"Whirlpool.Munich";2;1,06;1,013;62;6,1;10
"Red.Two.Hop.IPA";2;1,07;1,01;56;7,9;13
"Nemesis.IPA..2012.03.10.version.";2;1,066;1,018;43;6,3;9
"Peak.Banana";1;1,05;1,012;14;4,9;4
"Red.Ale.2";4;1,046;1,01;24;4,7;12
"Custom.IPA";2;1,066;1,017;64;6,4;9
"Bachelor.Party.IPA";2;1,057;1,014;57;5,6;9
"AHS.Anniversary.IPA";2;1,068;1,016;59;6,8;10
"Daruis.with.Saaz.and.Perle";2;1,06;1,014;53;5,9;7
"X2015.Red.IPA";2;1,065;1,017;53;6,3;15
"Irish.Red.I";4;1,046;1,012;22;4,4;16
"Summer.Rain.IPA";2;1,057;1,017;59;5,2;6
"Equilibrium.Ale.v1.1";2;1,06;1,012;42;6,3;9
"Sam.Adams.Latitude.48.IPA.Clone";2;1,071;1,018;48;7;9
"Dedicationman.IPA";2;1,072;1,017;61;7,1;8
"New.Edition.IPA.v2";2;1,056;1,013;57;5,6;6
"Darwin.s.Weizen";1;1,05;1,013;10;4,8;3
"X.089..Half.Santa.Left.This.For.Me";2;1,061;1,012;68;6,4;6
"Hops.Upside.Your.Head.BPA";2;1,058;1,015;61;5,6;13
"Falconer.s.IPA";2;1,07;1,015;64;7,2;9
"AHS.karankawa.pale.ale";2;1,057;1,014;56;5,6;8
"White.Wizard";1;1,047;1,012;10;4,6;3
"Rico.s.METHod.IPA";2;1,065;1,016;63;6,3;7
"Jamil.s.Evil.Twin.2";2;1,062;1,016;42;6;14
"AMERICAN.DORIPA";2;1,073;1,017;57;7,3;9
"Blood.Orange.Hefeweizen";1;1,046;1,012;13;4,5;3
"Unpaved.Road...Citra.IPA";2;1,064;1,015;60;6,4;6
"Leenhonitas.IPA..2010.04.25.version.";2;1,064;1,017;55;6,2;12
"Sharpe.Shooter.IPA";2;1,071;1,018;48;6,9;12
"Somewhat.Sahti";2;1,059;1,015;55;5,7;9
"Dampfbier.1";1;1,048;1,013;15;4,6;5
"X15.minute.American.IPA";2;1,057;1,015;55;5,5;14
"Fakedra...Phaedra.Belgian.Rye.IPA.Clone";2;1,07;1,017;67;7;6
"P.T.Red.Ale";4;1,056;1,014;21;5,5;16
"Holy.Cow..IPA";2;1,067;1,016;61;6,7;9
"Quick.Hefe..2011.07.24.version.";1;1,047;1,011;14;4,7;3
"Ram.s.Offspring";2;1,058;1,014;61;5,7;10
"Weiss.Guy";1;1,051;1,013;10;5;4
"Razzfeilds";1;1,046;1,012;12;4,5;3
"Dan.s.Kiwi.Xmas.IPA";2;1,062;1,016;67;6;9
"Mouthparty.IPA";2;1,067;1,017;66;6,6;8
"Simcoe.Smash..sorta.";2;1,057;1,013;70;5,7;6
"Hopworks.IPA.Clone";2;1,056;1,015;63;5,4;6
"Belgian.Ryiot";2;1,071;1,016;62;7,2;10
"ekstrakt";2;1,063;1,017;68;6;8
"Ranjer.IPA.12.24.13";2;1,06;1,015;65;5,9;10
"Downtown.IPA";2;1,06;1,015;55;5,9;11
"Quench";1;1,052;1,012;11;5,2;4
"Hoppy.New.Beer";2;1,058;1,014;62;5,7;9
"Freckled.Ginger.Ale";4;1,057;1,013;23;5,7;14
"Pod.City.IPA";2;1,058;1,015;61;5,7;15
"South.Side.Pale.Ale.v2.0";2;1,056;1,012;52;5,9;6
"First.American.IPA";2;1,068;1,018;51;6,6;8
"Galactic.Explorer";2;1,062;1,016;63;6;11
"Magnum.IPA";2;1,061;1,016;59;5,9;6
"Sorachi.Ace.Session";2;1,06;1,012;64;6,3;9
"Irish.Red.Nose..In.Leftovers..Ale";4;1,052;1,014;21;5;12
"Delirium.s.IPA";2;1,066;1,017;40;6,4;10
"HBT.Irish.Red";4;1,052;1,013;22;5,1;17
"Simcoe.IPA.4";2;1,064;1,016;53;6,3;8
"Random.IPA";2;1,066;1,016;62;6,5;8
"Fresh.Hop.IPA.1";2;1,068;1,017;47;6,7;7
"Doctor.s.wit";1;1,051;1,012;14;5,1;3
"Babo.s.IPA.2";2;1,061;1,011;58;6,6;6
"Hefe.4";1;1,051;1,012;12;5,1;2
"Ranger.Richard";2;1,058;1,014;68;5,7;6
"IPA.11";2;1,063;1,016;50;6,2;11
"Mattingly.Wedding.Beer";2;1,073;1,017;55;7,2;6
"Brooklyn.Inaugural.IPA";2;1,07;1,017;60;6,9;12
"Celebration";2;1,067;1,017;66;6,6;12
"Memorial.Day.IPA";2;1,063;1,016;49;6,2;6
"Everyday.IPA";2;1,064;1,017;50;6,2;11
"RoboCitra.IPA";2;1,067;1,013;65;7,1;6
"citra";2;1,066;1,015;46;6,7;8
"GSB..NZ.Pale.Ale";2;1,066;1,016;56;6,7;12
"Patrick.s.Red.Arse";4;1,054;1,013;18;5,3;16
"TPBC.Summit.SH.IPA";2;1,067;1,017;61;6,6;11
"Hophound.Hoptomic.IPA";2;1,071;1,018;64;6,9;15
"Krakens.Revenge.III";2;1,068;1,011;68;7,5;6
"American.Rye.PA..11gal.";2;1,066;1,017;53;6,4;13
"Irish.Red.Ale...American.Brewmaster";4;1,054;1,013;25;5,4;11
"Common.House.Spider.IPA";2;1,069;1,018;64;6,7;10
"√.sen";2;1,073;1,017;64;7,3;7
"HefeWeizen.v2";1;1,048;1,012;12;4,8;2
"American.IPA.Experiment.2";2;1,07;1,01;62;7,8;7
"MooBrew.Nugget.IPA";2;1,059;1,014;64;5,9;8
"Rainy.Night.IPA";2;1,057;1,014;65;5,6;9
"huff.eweizen";1;1,05;1,013;13;4,9;4
"Man.Juice";2;1,056;1,015;64;5,4;9
"MPG.IPA";2;1,057;1,014;67;5,6;10
"Dritzz";2;1,061;1,015;64;6;8
"ZDC";2;1,064;1,016;60;6,3;6
"Chinooked.on.Phonics";2;1,064;1,017;59;6,1;12
"not.sure.yet.IPA";2;1,069;1,017;64;6,8;6
"Natal.Plum.IPA";2;1,072;1,017;61;7,2;7
"Shaun.s.So.Good.Hefe";1;1,05;1,013;14;4,8;3
"Irish.Draught.2016";4;1,048;1,013;24;4,6;13
"Irish.Red.Ale.2";4;1,055;1,014;25;5,3;16
"True.Brew.IPA.and.then.some";2;1,068;1,017;47;6,7;12
"Grapefruit.Blast.IPA";2;1,063;1,017;54;6;7
"Small.Batch..3";2;1,069;1,017;60;6,9;13
"Zythos.IPA.1";2;1,06;1,016;64;5,7;10
"German.Hef";1;1,05;1,012;10;4,9;3
"All.American.Rye.Pale.Ale...Batch.2";2;1,069;1,012;55;7,5;10
"Skulls.N.Pin.s.IPA";2;1,07;1,01;65;7,8;7
"irish.red";4;1,05;1,012;28;5,1;14
"Two.Hearted.Clone";2;1,071;1,018;45;7;7
"IPA.12";2;1,062;1,015;68;6,2;9
"Honey.Hefeweizen";1;1,049;1,011;13;4,9;3
"hop.hefener";2;1,062;1,016;62;6;11
"Oxente..2";2;1,069;1,017;45;6,8;11
"Chicken.Wing.IPA";2;1,068;1,015;60;6,9;9
"Hefe.2016";1;1,046;1,012;10;4,6;7
"Wloscianskie";1;1,048;1,01;10;5;3
"Irish.Red.January.2014";4;1,048;1,014;19;4,5;14
"IPA.Project...Mt..Hood";2;1,061;1,016;53;5,9;9
"BRB.Hefe";1;1,046;1,012;9;4,5;3
"X28.AIPA";2;1,063;1,016;59;6,2;6
"Hoppyum.IPA.Clone...All.Grain";2;1,067;1,016;67;6,7;8
"Pinto.Pale.Ale.v.4";2;1,062;1,016;65;6;9
"Snuggles.Hefe";1;1,048;1,011;11;4,8;5
"Bavarian.Hefeweizen";1;1,051;1,013;11;4,9;3
"Cathrouse";4;1,055;1,014;26;5,4;16
"Bowersox.Wheat";1;1,051;1,013;10;5;4
"One.Legged.Man";2;1,064;1,017;53;6,2;11
"Belgian.Pale.Ale";2;1,057;1,015;64;5,5;9
"Celebration.IPA..SN.Clone.";2;1,074;1,017;65;7,4;13
"Rabbit.Run..Rusty.Pipes.3.";2;1,064;1,016;66;6,3;10
"Purdy.s.IPA";2;1,059;1,016;64;5,6;10
"Dad.s.Irish.Red";4;1,053;1,013;27;5,2;10
"G.off.IPA";2;1,058;1,013;57;5,9;8
"Can.You.Call.Me.Irish.";4;1,056;1,013;27;5,7;12
"Bunking.off";2;1,059;1,017;51;5,5;7
"American.IPA.5";2;1,065;1,016;52;6,3;8
"ipa.experiment.11.28.2014";2;1,066;1,016;63;6,6;7
"IPA.Project...Bravo";2;1,061;1,016;69;5,9;9
"Rambler.IPA.Clone";2;1,067;1,013;64;7;15
"CIPA.dry.hop.II";2;1,064;1,015;60;6,4;14
"Red.RyePA";2;1,058;1,014;64;5,7;12
"Hoppily.Ever.After.2";2;1,069;1,017;69;6,8;8
"Centennial.IPA..Bells.Two.Hearted.Approximation.";2;1,064;1,015;64;6,4;7
"Three.Hearted.Ale";2;1,072;1,018;58;7,1;9
"Vienna.Hop.Capital";2;1,058;1,014;62;5,7;8
"Sweet.Honey.Wheat";1;1,044;1,012;13;4,2;5
"Two.hearted.Ale.Clone.1";2;1,062;1,015;63;6,2;10
"Amarillo.Session.IPA";2;1,058;1,014;42;5,7;6
"TNTs.Teach.a.Friend.to.Brew.Brew";2;1,067;1,017;53;6,6;6
"Mosaic.IPA.2";2;1,069;1,017;63;6,8;6
"Tapazilla";2;1,061;1,015;51;5,9;12
"High.Time.Hefe";1;1,048;1,012;13;4,7;3
"Lovebite.Weizenbier";1;1,048;1,012;14;4,7;4
"Paw.Paw.s.Pils";3;1,049;1,013;39;4,7;2
"Citrus.Stream.IPA";2;1,061;1,012;54;6,4;6
"Grapefruit.honey.ale";2;1,057;1,013;69;5,8;12
"Goat.Humper";2;1,068;1,017;69;6,7;7
"Tavern.Wench.Belgian.RyePA";2;1,066;1,012;56;7,1;9
"RY.P.A.";2;1,07;1,017;59;7;10
"Pilsner.2";3;1,049;1,013;43;4,8;2
"Untitled.German.Pilsner..Pils..157065";3;1,047;1,011;41;4,8;4
"Summer.Fruit.Barrel.Pale.Ale";2;1,065;1,015;55;6,5;8
"Adlholz.Amber.Ale";2;1,067;1,017;45;6,6;14
"TPBC.Red.Ale";2;1,064;1,017;47;6,1;13
"X.076..Das.Frische.Bier.Select";3;1,05;1,01;35;5,2;3
"how.to.clean.out.the.hop.fridge";2;1,062;1,015;66;6,2;11
"J.s.IPA";2;1,059;1,016;64;5,6;12
"Sinistral.Warrior.IPA";2;1,073;1,016;67;7,5;11
"Dark.Horse.IPA";2;1,059;1,016;60;5,7;12
"Quotidian.IPA..3";2;1,065;1,016;49;6,4;14
"Pride.of.Ringwood.IPA";2;1,069;1,017;48;6,7;10
"In.Like.a.Lion.IPA";2;1,072;1,015;61;7,5;7
"South.Pacific.Pale";2;1,062;1,016;45;6;8
"X100.Stacks.IPA";2;1,067;1,017;50;6,6;7
"Blackberry.Wheat.Beer";1;1,05;1,013;14;4,8;4
"X.060..Winter.Weizen";1;1,051;1,013;13;4,9;3
"Mosaic.IPA.3";2;1,068;1,017;59;6,7;8
"AprIPA.AG.Take.2";2;1,057;1,015;66;5,5;6
"IPA.feb2012";2;1,056;1,014;64;5,5;7
"Divine.Ellie";2;1,073;1,017;43;7,3;7
"Zombie.Plan";2;1,062;1,014;50;6,3;8
"Boss.Washington";1;1,05;1,013;10;5;3
"Cweet...Cimple.IPA";2;1,071;1,016;64;7,2;13
"CatastroIPA";2;1,066;1,017;57;6,5;12
"Torpedo.IPA.Clone";2;1,068;1,016;54;6,8;8
"X55.Red.IPA";2;1,061;1,015;55;6,1;14
"American.IPA.01";2;1,068;1,016;56;6,8;7
"Grapefruit.Hefe";1;1,046;1,014;14;4,2;3
"Bombay.IPA";2;1,062;1,016;53;6,1;7
"Duke.Henry.Irish.Red";4;1,05;1,014;25;4,7;11
"Rosemary.IPA..Pilsener.Malt";2;1,071;1,018;46;7;6
"Walker.Sweat";2;1,071;1,014;44;7,4;7
"Harvest.Ale";2;1,065;1,016;49;6,4;7
"IPA.test..Mt.Hood";2;1,064;1,014;42;6,6;9
"bookmaker";2;1,063;1,013;43;6,6;8
"RIPA";2;1,063;1,015;68;6,4;9
"X1335.IPA";2;1,061;1,015;63;6;6
"AHS.Budget.IPA...Mini.Mash";2;1,059;1,015;61;5,8;8
"Ich.bin.Amerikan.IPA";2;1,057;1,014;61;5,6;8
"basic.hef";1;1,045;1,011;11;4,5;3
"Dizzy.Desert";2;1,075;1,018;64;7,5;10
"Dan.Dyer.s.Sloppy.Doppelganger";2;1,062;1,015;65;6,2;7
"Flying.V";2;1,062;1,011;62;6,7;8
"Bday.Bonfire.Beer";2;1,057;1,015;61;5,5;10
"Erin.go.braugh";4;1,053;1,012;23;5,4;14
"Oaked.IPA.II";2;1,058;1,012;69;6;11
"Mosaic.American.IPA";2;1,066;1,016;62;6,7;12
"Horizon.IPA.2";2;1,062;1,017;66;5,9;7
