"";"X";"Style";"OG";"FG";"IBU";"ABV";"Color"
"1318";"Watermelon.Weizenbier";1;1,049;1,013;11;4,8;3
"1319";"Deep.Red.Ale";2;1,056;1,013;44;5,6;11
"1320";"Spapoop.IPA";2;1,068;1,018;57;6,6;8
"1321";"Northern.Brewer.Dead.Ringer.IPA.1";2;1,064;1,015;56;6,4;8
"1322";"Citraholic";2;1,061;1,016;61;6;7
"1323";"Em.s.WIPA";2;1,066;1,015;48;6,7;7
"1324";"Hopricot.IPA";2;1,069;1,017;58;6,8;10
"1325";"Mango.Madness.Pale.Ale";2;1,058;1,016;55;5,5;8
"1326";"Mama.K.IPA";2;1,069;1,017;61;6,8;10
"1327";"Mad.Tom.IPA.Clone";2;1,069;1,017;60;6,8;9
"1328";"Munich.IPA";2;1,056;1,014;57;5,5;8
"1329";"RyePuh.";2;1,064;1,016;51;6,3;8
"1330";"Father.s.Day.Ipa.II";2;1,068;1,017;66;6,7;7
"1331";"Christmas.IPA...Lighter";2;1,065;1,015;46;6,5;7
"1332";"Mango.Chipotle.IPA";2;1,071;1,017;41;7,1;6
"1333";"Single.Hop..Pearle.";2;1,066;1,017;52;6,4;7
"1334";"Blue.IPA";2;1,061;1,015;58;6;6
"1335";"Mystery.Manor.Pale.Ale";2;1,058;1,016;46;5,5;7
"1336";"Spring.Weizen";1;1,052;1,014;13;4,9;3
"1337";"Founders.300esq";2;1,066;1,017;68;6,4;6
"1338";"Manini.IPA";2;1,069;1,014;69;7,2;6
"1339";"Dead.Ringer.1";2;1,064;1,017;58;6,2;8
"1340";"Longleaf.Hefe";1;1,047;1,011;9;4,7;6
"1341";"Columbus.IPA.3";2;1,067;1,017;55;6,6;8
"1342";"Immortal.Clone";2;1,066;1,017;48;6,4;8
"1343";"Dog.Day.IPA";2;1,062;1,016;66;6,1;8
"1344";"Standard.Hefe";1;1,052;1,013;9;5;4
"1345";"Conan.the.IPA";2;1,067;1,017;68;6,6;6
"1346";"Simple.IPA";2;1,07;1,018;60;6,9;9
"1347";"Snuggles.Hefe.V2";1;1,048;1,012;11;4,7;5
"1348";"Order.60.Six";2;1,057;1,014;60;5,6;9
"1349";"Greenbelt.IPA";2;1,073;1,017;66;7,2;9
"1350";"HefeWheat";1;1,045;1,011;13;4,4;4
"1351";"Falconer.s.flight.IPA";2;1,068;1,017;58;6,7;7
"1352";"IRA.1";2;1,06;1,018;60;5,5;14
"1353";"Single.Hop.Rakau.IPA.Test.2";2;1,071;1,014;62;7,4;10
"1354";"Vermont.Hill...IPA";2;1,07;1,014;66;7,3;7
"1355";"Deadringer.IPA..NB.Kit.";2;1,064;1,013;59;6,6;9
"1356";"Averagely.Perfect.American.IPA";2;1,064;1,017;61;6,1;7
"1357";"Tubby.s.IPA..2012.02.20.version.";2;1,068;1,015;65;6,9;6
"1358";"First.electric.ryepa";2;1,059;1,015;52;5,8;9
"1359";"Punch.You.in.the.IPA";2;1,065;1,013;48;6,8;7
"1360";"UBrew.APA";2;1,056;1,011;51;5,9;9
"1361";"Raspberry.Wheat";1;1,05;1,012;10;5;3
"1362";"First.Pilsner";3;1,05;1,013;25;4,9;2
"1363";"OEA";2;1,057;1,014;45;5,6;7
"1364";"Equinox.Simcoe";2;1,071;1,014;70;7,4;8
"1365";"Fiesta.Ale";2;1,072;1,017;60;7,2;11
"1366";"Fogu";2;1,066;1,018;48;6,3;10
"1367";"X.029..Red.Beard.McBrewinagin";4;1,052;1,014;21;4,9;15
"1368";"Hammerface.IPA";2;1,068;1,016;61;6,8;7
"1369";"TOTAL.BS.IPA";2;1,063;1,016;54;6,2;6
"1370";"RyRyePA";2;1,069;1,017;51;6,8;11
"1371";"TNT.IPA";2;1,065;1,017;65;6,3;8
"1372";"Apthorp.Ale";2;1,063;1,016;44;6,2;9
"1373";"Heavy.Rye";2;1,065;1,012;46;7;11
"1374";"Older.Not.Weisser";1;1,05;1,013;14;4,9;2
"1375";"Appa.s.IPA";2;1,073;1,011;69;8,2;8
"1376";"Forty.Five.Minutes";2;1,058;1,017;69;5,3;9
"1377";"Ska.Loose.Interpretation";2;1,074;1,017;66;7,4;8
"1378";"My.First.beer";3;1,045;1,011;27;4,5;4
"1379";"Formiga.American.IPA...metric";2;1,071;1,018;55;7;7
"1380";"Study.In.Victory..1";2;1,066;1,016;53;6,5;9
"1381";"Victory.Brew";2;1,067;1,018;56;6,4;9
"1382";"SMash..Honey.malt";2;1,065;1,018;48;6,3;7
"1383";"Nugget.light";2;1,062;1,015;45;6,1;6
"1384";"Sierra.Nevada.Celebration";2;1,061;1,015;64;6;10
"1385";"Kitchen.Sink.Hop.and.Rye";2;1,07;1,014;51;7,3;12
"1386";"Lord.Kelvin.IPA";2;1,059;1,015;47;5,8;14
"1387";"Irish.Immigrant.Red.Ale";4;1,052;1,014;25;5;10
"1388";"Elgin.IPA";2;1,066;1,016;59;6,5;8
"1389";"chinook.ipa";2;1,065;1,016;66;6,4;9
"1390";"Fresh.Squeezed.V2";2;1,06;1,014;56;6,1;6
"1391";"Bell.s.Two.Hearted.Clone..2.Gallon.BIAB.";2;1,064;1,015;56;6,4;8
"1392";"Sierra.Nevada.Style.IPA";2;1,065;1,016;68;6,4;7
"1393";"B.E.E.R";2;1,065;1,013;57;6,8;6
"1394";"Lagunitas.IPA.Style";2;1,059;1,018;59;5,4;7
"1395";"IPA.1.0";2;1,067;1,017;56;6,5;11
"1396";"BRP010.standard.red.ale";4;1,056;1,013;25;5,6;12
"1397";"X68CitraIPA";2;1,072;1,01;64;8,1;13
"1398";"whamber";2;1,063;1,015;51;6,3;11
"1399";"CIPA";2;1,068;1,016;62;6,8;14
"1400";"Fruit.Bomb.IPA";2;1,067;1,016;58;6,7;9
"1401";"ABC.Brewing...Hop.Sanatorium";2;1,061;1,014;55;6,1;7
"1402";"Nelson.IPA";2;1,065;1,016;48;6,4;7
"1403";"J.B.IPA..Extract.";2;1,063;1,016;67;6,1;12
"1404";"Nye.P.Eh";2;1,067;1,018;46;6,4;9
"1405";"Ipana";2;1,058;1,013;51;5,9;6
"1406";"Ranting.Ricky.s.Rye";2;1,063;1,016;58;6,1;7
"1407";"Rain.Delay.v2";2;1,065;1,013;45;6,8;7
"1408";"Hefe.3";3;1,046;1,011;26;4,5;4
"1409";"Warrior.Single.Hop";2;1,061;1,016;59;5,9;10
"1410";"PEAK.IPA.CLONE..2011.11.23.version.";2;1,064;1,017;58;6,2;9
"1411";"Dead.Ringer.by.Frostbrewer";2;1,068;1,017;66;6,7;10
"1412";"All.Grain.Hefe";1;1,048;1,012;13;4,7;4
"1413";"Revolutionary.Rebel.IPA";2;1,066;1,018;47;6,3;6
"1414";"Franklin.IPA.2.0";2;1,061;1,016;53;5,8;7
"1415";"Summer.Hefe";1;1,05;1,012;14;4,9;4
"1416";"Ruthless.Aye";2;1,064;1,013;53;6,7;11
"1417";"O.Leary.s.Cow";4;1,05;1,014;27;4,7;13
"1418";"Hefe.pils";1;1,046;1,012;13;4,6;5
"1419";"Better.than.Oscar.IPA";2;1,072;1,018;70;7,1;9
"1420";"GOLDEN.WEIZEN";1;1,048;1,013;11;4,7;4
"1421";"Mighty.Orange.IPA.2012.10.11";2;1,056;1,015;69;5,4;9
"1422";"Weiss.Weiss.Baby";1;1,047;1,012;12;4,7;3
"1423";"X3.11.IPA";2;1,065;1,018;66;6,2;7
"1424";"Odds.and.Ends.IPA";2;1,071;1,01;56;7,9;11
"1425";"Oktoberfest.IPA";2;1,069;1,017;62;6,8;11
"1426";"Sierra.Nevada.Celebration.Clone";2;1,063;1,017;66;6;9
"1427";"Amarillo.Simco.Lagunitas.Yeast.IPA";2;1,061;1,015;57;6;6
"1428";"wei.zo.serious.";1;1,051;1,013;15;5;3
"1429";"Midwest.Irish.Red.Kit";4;1,048;1,012;19;4,7;9
"1430";"Belma.WIPA";2;1,056;1,014;54;5,5;7
"1431";"Gallon.IPA";2;1,058;1,014;41;5,8;10
"1432";"Half.Mash.IPA";2;1,07;1,018;56;6,8;8
"1433";"PGB.IPA.2G";2;1,059;1,015;49;5,8;6
"1434";"Ghost.Fish.IPA";2;1,06;1,014;58;6;6
"1435";"Untitled.American.IPA.156300";2;1,073;1,017;60;7,2;10
"1436";"AHS.Winter.IPA";2;1,067;1,013;66;7;10
"1437";"Grandpops.Broken.Coaster.IPA";2;1,068;1,018;67;6,6;6
"1438";"Initial.IPA";2;1,057;1,011;59;6;8
"1439";"Lavender.IPA";2;1,064;1,017;57;6;6
"1440";"IIPA";2;1,063;1,017;68;6;8
"1441";"Red.IPA.1";2;1,068;1,017;67;6,7;15
"1442";"IL.2.CO";2;1,063;1,016;53;6,2;10
"1443";"Fantasy.IPA";2;1,067;1,014;51;6,9;8
"1444";"Green.Tea.IPA.Redux";2;1,068;1,017;41;6,7;7
"1445";"Whirlpool.Munich";2;1,06;1,013;62;6,1;10
"1446";"Red.Two.Hop.IPA";2;1,07;1,01;56;7,9;13
"1447";"Nemesis.IPA..2012.03.10.version.";2;1,066;1,018;43;6,3;9
"1448";"Peak.Banana";1;1,05;1,012;14;4,9;4
"1449";"Red.Ale.2";4;1,046;1,01;24;4,7;12
"1450";"Custom.IPA";2;1,066;1,017;64;6,4;9
"1451";"Bachelor.Party.IPA";2;1,057;1,014;57;5,6;9
"1452";"AHS.Anniversary.IPA";2;1,068;1,016;59;6,8;10
"1453";"Daruis.with.Saaz.and.Perle";2;1,06;1,014;53;5,9;7
"1454";"X2015.Red.IPA";2;1,065;1,017;53;6,3;15
"1455";"Irish.Red.I";4;1,046;1,012;22;4,4;16
"1456";"Summer.Rain.IPA";2;1,057;1,017;59;5,2;6
"1457";"Equilibrium.Ale.v1.1";2;1,06;1,012;42;6,3;9
"1458";"Sam.Adams.Latitude.48.IPA.Clone";2;1,071;1,018;48;7;9
"1459";"Dedicationman.IPA";2;1,072;1,017;61;7,1;8
"1460";"New.Edition.IPA.v2";2;1,056;1,013;57;5,6;6
"1461";"Darwin.s.Weizen";1;1,05;1,013;10;4,8;3
"1462";"X.089..Half.Santa.Left.This.For.Me";2;1,061;1,012;68;6,4;6
"1463";"Hops.Upside.Your.Head.BPA";2;1,058;1,015;61;5,6;13
"1464";"Falconer.s.IPA";2;1,07;1,015;64;7,2;9
"1465";"AHS.karankawa.pale.ale";2;1,057;1,014;56;5,6;8
"1466";"White.Wizard";1;1,047;1,012;10;4,6;3
"1467";"Rico.s.METHod.IPA";2;1,065;1,016;63;6,3;7
"1468";"Jamil.s.Evil.Twin.2";2;1,062;1,016;42;6;14
"1469";"AMERICAN.DORIPA";2;1,073;1,017;57;7,3;9
"1470";"Blood.Orange.Hefeweizen";1;1,046;1,012;13;4,5;3
"1471";"Unpaved.Road...Citra.IPA";2;1,064;1,015;60;6,4;6
"1472";"Leenhonitas.IPA..2010.04.25.version.";2;1,064;1,017;55;6,2;12
"1473";"Sharpe.Shooter.IPA";2;1,071;1,018;48;6,9;12
"1474";"Somewhat.Sahti";2;1,059;1,015;55;5,7;9
"1475";"Dampfbier.1";1;1,048;1,013;15;4,6;5
"1476";"X15.minute.American.IPA";2;1,057;1,015;55;5,5;14
"1477";"Fakedra...Phaedra.Belgian.Rye.IPA.Clone";2;1,07;1,017;67;7;6
"1478";"P.T.Red.Ale";4;1,056;1,014;21;5,5;16
"1479";"Holy.Cow..IPA";2;1,067;1,016;61;6,7;9
"1480";"Quick.Hefe..2011.07.24.version.";1;1,047;1,011;14;4,7;3
"1481";"Ram.s.Offspring";2;1,058;1,014;61;5,7;10
"1482";"Weiss.Guy";1;1,051;1,013;10;5;4
"1483";"Razzfeilds";1;1,046;1,012;12;4,5;3
"1484";"Dan.s.Kiwi.Xmas.IPA";2;1,062;1,016;67;6;9
"1485";"Mouthparty.IPA";2;1,067;1,017;66;6,6;8
"1486";"Simcoe.Smash..sorta.";2;1,057;1,013;70;5,7;6
"1487";"Hopworks.IPA.Clone";2;1,056;1,015;63;5,4;6
"1488";"Belgian.Ryiot";2;1,071;1,016;62;7,2;10
"1489";"ekstrakt";2;1,063;1,017;68;6;8
"1490";"Ranjer.IPA.12.24.13";2;1,06;1,015;65;5,9;10
"1491";"Downtown.IPA";2;1,06;1,015;55;5,9;11
"1492";"Quench";1;1,052;1,012;11;5,2;4
"1493";"Hoppy.New.Beer";2;1,058;1,014;62;5,7;9
"1494";"Freckled.Ginger.Ale";4;1,057;1,013;23;5,7;14
"1495";"Pod.City.IPA";2;1,058;1,015;61;5,7;15
"1496";"South.Side.Pale.Ale.v2.0";2;1,056;1,012;52;5,9;6
"1497";"First.American.IPA";2;1,068;1,018;51;6,6;8
"1498";"Galactic.Explorer";2;1,062;1,016;63;6;11
"1499";"Magnum.IPA";2;1,061;1,016;59;5,9;6
"1500";"Sorachi.Ace.Session";2;1,06;1,012;64;6,3;9
"1501";"Irish.Red.Nose..In.Leftovers..Ale";4;1,052;1,014;21;5;12
"1502";"Delirium.s.IPA";2;1,066;1,017;40;6,4;10
"1503";"HBT.Irish.Red";4;1,052;1,013;22;5,1;17
"1504";"Simcoe.IPA.4";2;1,064;1,016;53;6,3;8
"1505";"Random.IPA";2;1,066;1,016;62;6,5;8
"1506";"Fresh.Hop.IPA.1";2;1,068;1,017;47;6,7;7
"1507";"Doctor.s.wit";1;1,051;1,012;14;5,1;3
"1508";"Babo.s.IPA.2";2;1,061;1,011;58;6,6;6
"1509";"Hefe.4";1;1,051;1,012;12;5,1;2
"1510";"Ranger.Richard";2;1,058;1,014;68;5,7;6
"1511";"IPA.11";2;1,063;1,016;50;6,2;11
"1512";"Mattingly.Wedding.Beer";2;1,073;1,017;55;7,2;6
"1513";"Brooklyn.Inaugural.IPA";2;1,07;1,017;60;6,9;12
"1514";"Celebration";2;1,067;1,017;66;6,6;12
"1515";"Memorial.Day.IPA";2;1,063;1,016;49;6,2;6
"1516";"Everyday.IPA";2;1,064;1,017;50;6,2;11
"1517";"RoboCitra.IPA";2;1,067;1,013;65;7,1;6
"1518";"citra";2;1,066;1,015;46;6,7;8
"1519";"GSB..NZ.Pale.Ale";2;1,066;1,016;56;6,7;12
"1520";"Patrick.s.Red.Arse";4;1,054;1,013;18;5,3;16
"1521";"TPBC.Summit.SH.IPA";2;1,067;1,017;61;6,6;11
"1522";"Hophound.Hoptomic.IPA";2;1,071;1,018;64;6,9;15
"1523";"Krakens.Revenge.III";2;1,068;1,011;68;7,5;6
"1524";"American.Rye.PA..11gal.";2;1,066;1,017;53;6,4;13
"1525";"Irish.Red.Ale...American.Brewmaster";4;1,054;1,013;25;5,4;11
"1526";"Common.House.Spider.IPA";2;1,069;1,018;64;6,7;10
"1527";"√.sen";2;1,073;1,017;64;7,3;7
"1528";"HefeWeizen.v2";1;1,048;1,012;12;4,8;2
"1529";"American.IPA.Experiment.2";2;1,07;1,01;62;7,8;7
"1530";"MooBrew.Nugget.IPA";2;1,059;1,014;64;5,9;8
"1531";"Rainy.Night.IPA";2;1,057;1,014;65;5,6;9
"1532";"huff.eweizen";1;1,05;1,013;13;4,9;4
"1533";"Man.Juice";2;1,056;1,015;64;5,4;9
"1534";"MPG.IPA";2;1,057;1,014;67;5,6;10
"1535";"Dritzz";2;1,061;1,015;64;6;8
"1536";"ZDC";2;1,064;1,016;60;6,3;6
"1537";"Chinooked.on.Phonics";2;1,064;1,017;59;6,1;12
"1538";"not.sure.yet.IPA";2;1,069;1,017;64;6,8;6
"1539";"Natal.Plum.IPA";2;1,072;1,017;61;7,2;7
"1540";"Shaun.s.So.Good.Hefe";1;1,05;1,013;14;4,8;3
"1541";"Irish.Draught.2016";4;1,048;1,013;24;4,6;13
"1542";"Irish.Red.Ale.2";4;1,055;1,014;25;5,3;16
"1543";"True.Brew.IPA.and.then.some";2;1,068;1,017;47;6,7;12
"1544";"Grapefruit.Blast.IPA";2;1,063;1,017;54;6;7
"1545";"Small.Batch..3";2;1,069;1,017;60;6,9;13
"1546";"Zythos.IPA.1";2;1,06;1,016;64;5,7;10
"1547";"German.Hef";1;1,05;1,012;10;4,9;3
"1548";"All.American.Rye.Pale.Ale...Batch.2";2;1,069;1,012;55;7,5;10
"1549";"Skulls.N.Pin.s.IPA";2;1,07;1,01;65;7,8;7
"1550";"irish.red";4;1,05;1,012;28;5,1;14
"1551";"Two.Hearted.Clone";2;1,071;1,018;45;7;7
"1552";"IPA.12";2;1,062;1,015;68;6,2;9
"1553";"Honey.Hefeweizen";1;1,049;1,011;13;4,9;3
"1554";"hop.hefener";2;1,062;1,016;62;6;11
"1555";"Oxente..2";2;1,069;1,017;45;6,8;11
"1556";"Chicken.Wing.IPA";2;1,068;1,015;60;6,9;9
"1557";"Hefe.2016";1;1,046;1,012;10;4,6;7
"1558";"Wloscianskie";1;1,048;1,01;10;5;3
"1559";"Irish.Red.January.2014";4;1,048;1,014;19;4,5;14
"1560";"IPA.Project...Mt..Hood";2;1,061;1,016;53;5,9;9
"1561";"BRB.Hefe";1;1,046;1,012;9;4,5;3
"1562";"X28.AIPA";2;1,063;1,016;59;6,2;6
"1563";"Hoppyum.IPA.Clone...All.Grain";2;1,067;1,016;67;6,7;8
"1564";"Pinto.Pale.Ale.v.4";2;1,062;1,016;65;6;9
"1565";"Snuggles.Hefe";1;1,048;1,011;11;4,8;5
"1566";"Bavarian.Hefeweizen";1;1,051;1,013;11;4,9;3
"1567";"Cathrouse";4;1,055;1,014;26;5,4;16
"1568";"Bowersox.Wheat";1;1,051;1,013;10;5;4
"1569";"One.Legged.Man";2;1,064;1,017;53;6,2;11
"1570";"Belgian.Pale.Ale";2;1,057;1,015;64;5,5;9
"1571";"Celebration.IPA..SN.Clone.";2;1,074;1,017;65;7,4;13
"1572";"Rabbit.Run..Rusty.Pipes.3.";2;1,064;1,016;66;6,3;10
"1573";"Purdy.s.IPA";2;1,059;1,016;64;5,6;10
"1574";"Dad.s.Irish.Red";4;1,053;1,013;27;5,2;10
"1575";"G.off.IPA";2;1,058;1,013;57;5,9;8
"1576";"Can.You.Call.Me.Irish.";4;1,056;1,013;27;5,7;12
"1577";"Bunking.off";2;1,059;1,017;51;5,5;7
"1578";"American.IPA.5";2;1,065;1,016;52;6,3;8
"1579";"ipa.experiment.11.28.2014";2;1,066;1,016;63;6,6;7
"1580";"IPA.Project...Bravo";2;1,061;1,016;69;5,9;9
"1581";"Rambler.IPA.Clone";2;1,067;1,013;64;7;15
"1582";"CIPA.dry.hop.II";2;1,064;1,015;60;6,4;14
"1583";"Red.RyePA";2;1,058;1,014;64;5,7;12
"1584";"Hoppily.Ever.After.2";2;1,069;1,017;69;6,8;8
"1585";"Centennial.IPA..Bells.Two.Hearted.Approximation.";2;1,064;1,015;64;6,4;7
"1586";"Three.Hearted.Ale";2;1,072;1,018;58;7,1;9
"1587";"Vienna.Hop.Capital";2;1,058;1,014;62;5,7;8
"1588";"Sweet.Honey.Wheat";1;1,044;1,012;13;4,2;5
"1589";"Two.hearted.Ale.Clone.1";2;1,062;1,015;63;6,2;10
"1590";"Amarillo.Session.IPA";2;1,058;1,014;42;5,7;6
"1591";"TNTs.Teach.a.Friend.to.Brew.Brew";2;1,067;1,017;53;6,6;6
"1592";"Mosaic.IPA.2";2;1,069;1,017;63;6,8;6
"1593";"Tapazilla";2;1,061;1,015;51;5,9;12
"1594";"High.Time.Hefe";1;1,048;1,012;13;4,7;3
"1595";"Lovebite.Weizenbier";1;1,048;1,012;14;4,7;4
"1596";"Paw.Paw.s.Pils";3;1,049;1,013;39;4,7;2
"1597";"Citrus.Stream.IPA";2;1,061;1,012;54;6,4;6
"1598";"Grapefruit.honey.ale";2;1,057;1,013;69;5,8;12
"1599";"Goat.Humper";2;1,068;1,017;69;6,7;7
"1600";"Tavern.Wench.Belgian.RyePA";2;1,066;1,012;56;7,1;9
"1601";"RY.P.A.";2;1,07;1,017;59;7;10
"1602";"Pilsner.2";3;1,049;1,013;43;4,8;2
"1603";"Untitled.German.Pilsner..Pils..157065";3;1,047;1,011;41;4,8;4
"1604";"Summer.Fruit.Barrel.Pale.Ale";2;1,065;1,015;55;6,5;8
"1605";"Adlholz.Amber.Ale";2;1,067;1,017;45;6,6;14
"1606";"TPBC.Red.Ale";2;1,064;1,017;47;6,1;13
"1607";"X.076..Das.Frische.Bier.Select";3;1,05;1,01;35;5,2;3
"1608";"how.to.clean.out.the.hop.fridge";2;1,062;1,015;66;6,2;11
"1609";"J.s.IPA";2;1,059;1,016;64;5,6;12
"1610";"Sinistral.Warrior.IPA";2;1,073;1,016;67;7,5;11
"1611";"Dark.Horse.IPA";2;1,059;1,016;60;5,7;12
"1612";"Quotidian.IPA..3";2;1,065;1,016;49;6,4;14
"1613";"Pride.of.Ringwood.IPA";2;1,069;1,017;48;6,7;10
"1614";"In.Like.a.Lion.IPA";2;1,072;1,015;61;7,5;7
"1615";"South.Pacific.Pale";2;1,062;1,016;45;6;8
"1616";"X100.Stacks.IPA";2;1,067;1,017;50;6,6;7
"1617";"Blackberry.Wheat.Beer";1;1,05;1,013;14;4,8;4
"1618";"X.060..Winter.Weizen";1;1,051;1,013;13;4,9;3
"1619";"Mosaic.IPA.3";2;1,068;1,017;59;6,7;8
"1620";"AprIPA.AG.Take.2";2;1,057;1,015;66;5,5;6
"1621";"IPA.feb2012";2;1,056;1,014;64;5,5;7
"1622";"Divine.Ellie";2;1,073;1,017;43;7,3;7
"1623";"Zombie.Plan";2;1,062;1,014;50;6,3;8
"1624";"Boss.Washington";1;1,05;1,013;10;5;3
"1625";"Cweet...Cimple.IPA";2;1,071;1,016;64;7,2;13
"1626";"CatastroIPA";2;1,066;1,017;57;6,5;12
"1627";"Torpedo.IPA.Clone";2;1,068;1,016;54;6,8;8
"1628";"X55.Red.IPA";2;1,061;1,015;55;6,1;14
"1629";"American.IPA.01";2;1,068;1,016;56;6,8;7
"1630";"Grapefruit.Hefe";1;1,046;1,014;14;4,2;3
"1631";"Bombay.IPA";2;1,062;1,016;53;6,1;7
"1632";"Duke.Henry.Irish.Red";4;1,05;1,014;25;4,7;11
"1633";"Rosemary.IPA..Pilsener.Malt";2;1,071;1,018;46;7;6
"1634";"Walker.Sweat";2;1,071;1,014;44;7,4;7
"1635";"Harvest.Ale";2;1,065;1,016;49;6,4;7
"1636";"IPA.test..Mt.Hood";2;1,064;1,014;42;6,6;9
"1637";"bookmaker";2;1,063;1,013;43;6,6;8
"1638";"RIPA";2;1,063;1,015;68;6,4;9
"1639";"X1335.IPA";2;1,061;1,015;63;6;6
"1640";"AHS.Budget.IPA...Mini.Mash";2;1,059;1,015;61;5,8;8
"1641";"Ich.bin.Amerikan.IPA";2;1,057;1,014;61;5,6;8
"1642";"basic.hef";1;1,045;1,011;11;4,5;3
"1643";"Dizzy.Desert";2;1,075;1,018;64;7,5;10
"1644";"Dan.Dyer.s.Sloppy.Doppelganger";2;1,062;1,015;65;6,2;7
"1645";"Flying.V";2;1,062;1,011;62;6,7;8
"1646";"Bday.Bonfire.Beer";2;1,057;1,015;61;5,5;10
"1647";"Erin.go.braugh";4;1,053;1,012;23;5,4;14
"1648";"Oaked.IPA.II";2;1,058;1,012;69;6;11
"1649";"Mosaic.American.IPA";2;1,066;1,016;62;6,7;12
"1650";"Horizon.IPA.2";2;1,062;1,017;66;5,9;7
